Sub	Trial	img	type	RT	Reaction
7	1.000000	136.000000	1.000000	10237.400	0.000000
7	2.000000	213.000000	1.000000	6742.090	0.000000
7	3.000000	53.000000	1.000000	25454.978	0.000000
7	4.000000	69.000000	1.000000	2619.244	0.000000
7	5.000000	49.000000	2.000000	5401.596	0.000000
7	6.000000	43.000000	1.000000	35088.053	0.000000
7	7.000000	208.000000	1.000000	41425.121	1.000000
7	8.000000	51.000000	1.000000	12750.078	0.000000
7	9.000000	54.000000	1.000000	17526.893	1.000000
7	10.000000	47.000000	2.000000	4592.747	1.000000
7	11.000000	147.000000	1.000000	4311.856	1.000000
7	12.000000	176.000000	2.000000	6443.209	1.000000
7	13.000000	220.000000	2.000000	5575.777	0.000000
7	14.000000	44.000000	2.000000	1423.124	0.000000
7	15.000000	6.000000	2.000000	2474.679	0.000000
7	16.000000	59.000000	1.000000	40918.671	1.000000
7	17.000000	223.000000	2.000000	3515.492	0.000000
7	18.000000	32.000000	1.000000	7633.099	0.000000
7	19.000000	23.000000	2.000000	6855.881	1.000000
7	20.000000	160.000000	2.000000	6417.333	0.000000
7	21.000000	235.000000	1.000000	2642.008	0.000000
7	22.000000	63.000000	1.000000	1631.723	0.000000
7	23.000000	57.000000	2.000000	20074.821	0.000000
7	24.000000	3.000000	1.000000	36765.715	0.000000
7	25.000000	130.000000	2.000000	2717.240	0.000000
7	26.000000	5.000000	2.000000	6591.611	0.000000
7	27.000000	45.000000	1.000000	17593.941	0.000000
7	28.000000	0.000000	1.000000	898.192	0.000000
7	29.000000	239.000000	1.000000	1175.613	0.000000
7	30.000000	8.000000	1.000000	57548.940	0.000000
7	31.000000	14.000000	1.000000	5329.669	0.000000
7	32.000000	31.000000	2.000000	5498.936	0.000000
7	33.000000	38.000000	2.000000	10860.085	0.000000
7	34.000000	41.000000	1.000000	23486.901	0.000000
7	35.000000	171.000000	1.000000	2566.280	1.000000
7	36.000000	200.000000	1.000000	2946.623	1.000000
7	37.000000	39.000000	1.000000	13957.318	0.000000
7	38.000000	22.000000	2.000000	11448.134	0.000000
7	39.000000	207.000000	2.000000	3201.629	1.000000
7	40.000000	20.000000	1.000000	8982.385	0.000000
7	41.000000	30.000000	1.000000	1546.870	1.000000
7	42.000000	17.000000	2.000000	3317.696	0.000000
7	43.000000	48.000000	1.000000	9737.356	1.000000
7	44.000000	37.000000	2.000000	1649.776	0.000000
7	45.000000	112.000000	1.000000	2976.019	0.000000
7	46.000000	60.000000	1.000000	6095.697	0.000000
7	47.000000	35.000000	1.000000	19255.319	0.000000
7	48.000000	123.000000	1.000000	31424.089	0.000000
