Sub	Trial	img	type	RT	Reaction
6	1.000000	69.000000	1.000000	3097.233	0.000000
6	2.000000	176.000000	2.000000	2544.241	1.000000
6	3.000000	47.000000	1.000000	1755.880	0.000000
6	4.000000	123.000000	1.000000	3032.800	0.000000
6	5.000000	130.000000	2.000000	2142.487	0.000000
6	6.000000	14.000000	1.000000	2866.826	0.000000
6	7.000000	5.000000	2.000000	2618.440	0.000000
6	8.000000	38.000000	1.000000	3377.298	0.000000
6	9.000000	30.000000	2.000000	7728.902	1.000000
6	10.000000	60.000000	2.000000	1937.386	0.000000
6	11.000000	220.000000	2.000000	3761.475	0.000000
6	12.000000	112.000000	2.000000	1968.039	0.000000
6	13.000000	17.000000	2.000000	5162.841	0.000000
6	14.000000	160.000000	2.000000	4067.509	0.000000
6	15.000000	207.000000	2.000000	4458.715	1.000000
6	16.000000	57.000000	1.000000	970.439	0.000000
6	17.000000	39.000000	2.000000	5155.103	0.000000
6	18.000000	200.000000	2.000000	1334.407	0.000000
6	19.000000	235.000000	1.000000	1693.321	0.000000
6	20.000000	35.000000	2.000000	3928.935	0.000000
6	21.000000	223.000000	1.000000	1122.722	0.000000
6	22.000000	20.000000	1.000000	3799.457	1.000000
6	23.000000	8.000000	1.000000	4355.910	0.000000
6	24.000000	239.000000	2.000000	1943.879	0.000000
6	25.000000	59.000000	1.000000	1957.351	1.000000
6	26.000000	45.000000	1.000000	1449.708	1.000000
6	27.000000	51.000000	1.000000	3877.156	0.000000
6	28.000000	147.000000	2.000000	1550.280	0.000000
6	29.000000	63.000000	1.000000	757.351	0.000000
6	30.000000	54.000000	1.000000	2447.983	0.000000
6	31.000000	53.000000	2.000000	630.389	0.000000
6	32.000000	208.000000	2.000000	2490.377	1.000000
6	33.000000	43.000000	2.000000	3634.730	0.000000
6	34.000000	213.000000	1.000000	1480.508	0.000000
6	35.000000	37.000000	2.000000	661.432	0.000000
6	36.000000	0.000000	2.000000	1727.522	0.000000
6	37.000000	136.000000	1.000000	2229.121	1.000000
6	38.000000	48.000000	1.000000	2392.757	1.000000
6	39.000000	3.000000	1.000000	1148.566	0.000000
6	40.000000	6.000000	1.000000	1285.936	0.000000
6	41.000000	41.000000	2.000000	685.446	0.000000
6	42.000000	49.000000	1.000000	984.094	0.000000
6	43.000000	171.000000	1.000000	4627.014	1.000000
6	44.000000	32.000000	2.000000	3067.036	0.000000
6	45.000000	22.000000	2.000000	2635.361	1.000000
6	46.000000	44.000000	1.000000	1497.696	0.000000
6	47.000000	23.000000	1.000000	3484.430	0.000000
6	48.000000	31.000000	1.000000	974.305	0.000000
