Sub	Trial	img	type	RT	Reaction
5	1.000000	44.000000	2.000000	3345.707	0.000000
5	2.000000	32.000000	2.000000	6067.596	0.000000
5	3.000000	53.000000	2.000000	6299.372	1.000000
5	4.000000	213.000000	2.000000	8674.633	1.000000
5	5.000000	5.000000	1.000000	8436.874	1.000000
5	6.000000	200.000000	2.000000	13170.082	0.000000
5	7.000000	63.000000	1.000000	8674.957	1.000000
5	8.000000	31.000000	1.000000	6051.756	0.000000
5	9.000000	235.000000	1.000000	9820.767	1.000000
5	10.000000	54.000000	2.000000	6237.453	1.000000
5	11.000000	23.000000	1.000000	8127.102	0.000000
5	12.000000	207.000000	2.000000	7936.292	0.000000
5	13.000000	239.000000	1.000000	1594.310	0.000000
5	14.000000	136.000000	1.000000	6667.604	1.000000
5	15.000000	38.000000	1.000000	4925.669	1.000000
5	16.000000	37.000000	1.000000	6599.297	0.000000
5	17.000000	59.000000	1.000000	10566.952	1.000000
5	18.000000	39.000000	2.000000	5509.705	0.000000
5	19.000000	223.000000	2.000000	10142.199	0.000000
5	20.000000	49.000000	2.000000	6967.549	0.000000
5	21.000000	208.000000	2.000000	8544.014	1.000000
5	22.000000	30.000000	2.000000	5910.412	0.000000
5	23.000000	147.000000	2.000000	1612.928	1.000000
5	24.000000	51.000000	1.000000	5075.820	0.000000
5	25.000000	160.000000	2.000000	4830.744	1.000000
5	26.000000	41.000000	2.000000	6786.457	1.000000
5	27.000000	22.000000	2.000000	3451.052	0.000000
5	28.000000	220.000000	2.000000	5358.526	1.000000
5	29.000000	112.000000	1.000000	7610.988	1.000000
5	30.000000	47.000000	2.000000	3386.066	0.000000
5	31.000000	43.000000	1.000000	5404.399	1.000000
5	32.000000	57.000000	2.000000	3458.843	0.000000
5	33.000000	123.000000	1.000000	7558.308	0.000000
5	34.000000	0.000000	1.000000	2740.933	0.000000
5	35.000000	3.000000	2.000000	4653.117	1.000000
5	36.000000	171.000000	2.000000	3950.829	1.000000
5	37.000000	20.000000	1.000000	3803.056	0.000000
5	38.000000	176.000000	2.000000	5448.105	1.000000
5	39.000000	45.000000	2.000000	5187.816	0.000000
5	40.000000	48.000000	2.000000	2075.550	1.000000
5	41.000000	17.000000	2.000000	3109.044	1.000000
5	42.000000	6.000000	1.000000	5621.443	0.000000
5	43.000000	60.000000	1.000000	2065.803	0.000000
5	44.000000	8.000000	2.000000	5599.257	1.000000
5	45.000000	35.000000	1.000000	8443.492	0.000000
5	46.000000	14.000000	1.000000	2571.472	1.000000
5	47.000000	69.000000	1.000000	1404.359	1.000000
5	48.000000	130.000000	1.000000	2337.813	1.000000
