Sub	Trial	img	type	RT	Reaction
11	1.000000	239.000000	1.000000	7537.765	0.000000
11	2.000000	136.000000	2.000000	10313.758	1.000000
11	3.000000	200.000000	1.000000	10591.191	0.000000
11	4.000000	35.000000	1.000000	10558.952	0.000000
11	5.000000	235.000000	2.000000	20051.270	0.000000
11	6.000000	23.000000	1.000000	13068.543	1.000000
11	7.000000	38.000000	2.000000	20381.628	1.000000
11	8.000000	54.000000	1.000000	11250.131	0.000000
11	9.000000	39.000000	2.000000	12244.183	1.000000
11	10.000000	220.000000	1.000000	7780.479	1.000000
11	11.000000	223.000000	1.000000	4451.062	1.000000
11	12.000000	20.000000	2.000000	3764.374	0.000000
11	13.000000	59.000000	1.000000	2402.913	1.000000
11	14.000000	3.000000	2.000000	2750.395	0.000000
11	15.000000	8.000000	2.000000	10662.502	0.000000
11	16.000000	31.000000	1.000000	12360.431	0.000000
11	17.000000	60.000000	2.000000	2617.126	1.000000
11	18.000000	130.000000	2.000000	9148.307	1.000000
11	19.000000	43.000000	1.000000	7293.505	1.000000
11	20.000000	30.000000	2.000000	3336.740	1.000000
11	21.000000	207.000000	1.000000	4904.824	1.000000
11	22.000000	5.000000	2.000000	6742.068	0.000000
11	23.000000	123.000000	1.000000	2536.985	0.000000
11	24.000000	37.000000	1.000000	6496.621	0.000000
11	25.000000	160.000000	2.000000	8258.223	0.000000
11	26.000000	47.000000	1.000000	7818.683	0.000000
11	27.000000	51.000000	1.000000	3466.168	1.000000
11	28.000000	171.000000	1.000000	2403.857	1.000000
11	29.000000	17.000000	2.000000	9661.109	0.000000
11	30.000000	69.000000	1.000000	4359.787	0.000000
11	31.000000	32.000000	1.000000	9349.178	1.000000
11	32.000000	6.000000	2.000000	17801.253	1.000000
11	33.000000	44.000000	1.000000	2160.312	0.000000
11	34.000000	176.000000	2.000000	7666.410	1.000000
11	35.000000	14.000000	1.000000	4265.456	0.000000
11	36.000000	53.000000	2.000000	4024.111	0.000000
11	37.000000	147.000000	2.000000	8591.753	1.000000
11	38.000000	48.000000	2.000000	5310.651	1.000000
11	39.000000	213.000000	2.000000	11946.901	1.000000
11	40.000000	49.000000	2.000000	6647.445	1.000000
11	41.000000	112.000000	1.000000	6647.952	0.000000
11	42.000000	0.000000	1.000000	5318.529	0.000000
11	43.000000	208.000000	1.000000	2817.321	1.000000
11	44.000000	22.000000	1.000000	4978.323	1.000000
11	45.000000	41.000000	2.000000	5387.363	0.000000
11	46.000000	63.000000	2.000000	3717.345	0.000000
11	47.000000	57.000000	1.000000	4819.579	0.000000
11	48.000000	45.000000	2.000000	10746.217	0.000000
