Sub	Trial	img	type	RT	Reaction
9	1.000000	208.000000	1.000000	 3.135	1.000000
9	2.000000	136.000000	1.000000	16818.840	1.000000
9	3.000000	130.000000	2.000000	2021.227	0.000000
9	4.000000	176.000000	2.000000	5813.119	1.000000
9	5.000000	31.000000	1.000000	2297.496	0.000000
9	6.000000	32.000000	2.000000	1057.139	0.000000
9	7.000000	220.000000	1.000000	1273.956	0.000000
9	8.000000	45.000000	2.000000	4588.463	0.000000
9	9.000000	6.000000	1.000000	2204.794	0.000000
9	10.000000	41.000000	2.000000	10760.671	0.000000
9	11.000000	47.000000	2.000000	1628.438	0.000000
9	12.000000	38.000000	2.000000	800.611	0.000000
9	13.000000	14.000000	2.000000	1177.055	0.000000
9	14.000000	35.000000	2.000000	15503.219	0.000000
9	15.000000	60.000000	2.000000	1254.904	0.000000
9	16.000000	235.000000	1.000000	14173.948	0.000000
9	17.000000	213.000000	1.000000	1628.961	0.000000
9	18.000000	3.000000	2.000000	2286.618	0.000000
9	19.000000	44.000000	2.000000	1761.559	0.000000
9	20.000000	51.000000	2.000000	1881.251	0.000000
9	21.000000	112.000000	1.000000	17677.847	0.000000
9	22.000000	207.000000	2.000000	2384.047	0.000000
9	23.000000	49.000000	1.000000	1260.930	0.000000
9	24.000000	17.000000	1.000000	24721.273	1.000000
9	25.000000	239.000000	1.000000	1760.470	0.000000
9	26.000000	147.000000	1.000000	882.244	0.000000
9	27.000000	30.000000	2.000000	5630.405	0.000000
9	28.000000	57.000000	1.000000	28296.692	0.000000
9	29.000000	123.000000	2.000000	2370.349	0.000000
9	30.000000	200.000000	2.000000	18545.111	1.000000
9	31.000000	54.000000	2.000000	2360.951	0.000000
9	32.000000	5.000000	1.000000	4855.092	0.000000
9	33.000000	48.000000	2.000000	835.907	0.000000
9	34.000000	20.000000	2.000000	1816.492	0.000000
9	35.000000	8.000000	2.000000	6293.683	0.000000
9	36.000000	69.000000	2.000000	2917.385	0.000000
9	37.000000	63.000000	2.000000	9430.196	0.000000
9	38.000000	160.000000	1.000000	13798.683	0.000000
9	39.000000	223.000000	1.000000	15411.881	0.000000
9	40.000000	39.000000	2.000000	5443.094	0.000000
9	41.000000	53.000000	1.000000	13716.908	0.000000
9	42.000000	37.000000	1.000000	18094.500	0.000000
9	43.000000	22.000000	2.000000	2683.573	0.000000
9	44.000000	59.000000	2.000000	2370.900	0.000000
9	45.000000	43.000000	1.000000	3221.190	0.000000
9	46.000000	171.000000	2.000000	2435.558	1.000000
9	47.000000	23.000000	2.000000	3936.083	0.000000
9	48.000000	0.000000	2.000000	1007.663	0.000000
