,model_z_score
0,12.0028958744
1,13.3373926981
2,2.79965059093
3,-7.0623671566
4,9.40040308289
5,-17.3690621525
6,-11.0745972434
7,1.70186063743
8,2.08261748134
9,-0.693788223119
10,-5.12507327479
11,8.05625316318
12,-13.8508368455
13,-6.45325586115
14,-2.86267971993
15,5.11085210342
16,15.4925779284
17,16.9478284236
18,-21.9440160265
19,-4.23610613641
