,information_content,conditional_entropy
0,-0.0,3.4965075614664802
1,-3.2034265038149176e-16,3.8066624897703196
2,-3.2034265038149176e-16,3.8066624897703196
3,-3.2034265038149176e-16,3.8066624897703196
4,-0.0,3.4965075614664802
5,-0.0,3.4965075614664802
6,-3.2034265038149176e-16,3.8066624897703196
7,-0.0,3.4965075614664802
8,-3.2034265038149176e-16,3.8066624897703196
9,-0.0,3.4965075614664802
10,-0.0,2.3978952727983707
11,-0.0,3.4965075614664802
12,-3.2034265038149176e-16,3.8066624897703196
13,-3.2034265038149176e-16,3.8066624897703196
14,-3.2034265038149176e-16,5.283203728737988
15,-0.0,3.4965075614664802
16,-3.2034265038149176e-16,3.8066624897703196
17,-0.0,3.4965075614664802
18,-3.2034265038149176e-16,3.8066624897703196
19,-3.2034265038149176e-16,3.8066624897703196
20,-0.0,3.4965075614664802
21,-3.2034265038149176e-16,3.8066624897703196
22,-3.2034265038149176e-16,3.8066624897703196
23,-0.0,2.1972245773362196
24,-0.0,3.4965075614664802
25,-3.2034265038149176e-16,3.8066624897703196
26,-3.2034265038149176e-16,3.8066624897703196
27,-3.2034265038149176e-16,3.8066624897703196
28,-0.0,3.4965075614664802
29,-3.2034265038149176e-16,3.8066624897703196
30,-3.2034265038149176e-16,3.8066624897703196
31,-0.0,3.4965075614664802
32,-3.2034265038149176e-16,3.8066624897703196
33,-3.2034265038149176e-16,3.8066624897703196
34,-3.2034265038149176e-16,3.8066624897703196
35,-0.0,3.4965075614664802
36,-3.2034265038149176e-16,3.8066624897703196
37,-3.2034265038149176e-16,3.8066624897703196
38,-3.2034265038149176e-16,3.8066624897703196
39,-0.0,3.4965075614664802
40,-0.0,3.4965075614664802
41,-0.0,3.4965075614664802
42,-0.0,3.4965075614664802
43,-0.0,3.4965075614664802
44,-3.2034265038149176e-16,3.8066624897703196
45,-3.2034265038149176e-16,5.283203728737988
46,-3.2034265038149176e-16,3.8066624897703196
47,-3.2034265038149176e-16,5.283203728737988
