,gamma,alpha,p
0,0.5,2.5,3.0608205627687516e-07
1,0.6,2.5,8.519676738741259e-07
2,0.7,2.5,1.4570323039062162e-06
3,0.7999999999999999,2.5,1.6639821596089316e-06
4,0.8999999999999999,2.5,1.35568322173446e-06
5,0.9999999999999999,2.5,8.310720630851199e-07
6,1.0999999999999999,2.5,4.004023000991262e-07
7,1.1999999999999997,2.5,1.571616812915282e-07
8,1.2999999999999998,2.5,5.1784940725641655e-08
9,1.4,2.5,1.4689253812071847e-08
10,1.4999999999999998,2.5,3.664227430070007e-09
11,0.5,2.6,1.4814571292954262e-06
12,0.6,2.6,4.281326764737924e-06
13,0.7,2.6,7.568302475274496e-06
14,0.7999999999999999,2.6,8.899530179430056e-06
15,0.8999999999999999,2.6,7.440460713810159e-06
16,0.9999999999999999,2.6,4.666931709385243e-06
17,1.0999999999999999,2.6,2.2947637369215365e-06
18,1.1999999999999997,2.6,9.172358125150412e-07
19,1.2999999999999998,2.6,3.071858682882962e-07
20,1.4,2.6,8.841776043975592e-08
21,1.4999999999999998,2.6,2.2347826775767185e-08
22,0.5,2.7,5.864789259997192e-06
23,0.6,2.7,1.7582559939211668e-05
24,0.7,2.7,3.210275103353737e-05
25,0.7999999999999999,2.7,3.8841077981257075e-05
26,0.8999999999999999,2.7,3.330126486174081e-05
27,0.9999999999999999,2.7,2.1358806862872104e-05
28,1.0999999999999999,2.7,1.0712329574535867e-05
29,1.1999999999999997,2.7,4.358012655040316e-06
30,1.2999999999999998,2.7,1.4827105288181094e-06
31,1.4,2.7,4.328480007561782e-07
32,1.4999999999999998,2.7,1.1080426702446718e-07
33,0.5,2.8000000000000003,1.9306191539098917e-05
34,0.6,2.8000000000000003,5.999472550616136e-05
35,0.7,2.8000000000000003,0.00011305454472917279
36,0.7999999999999999,2.8000000000000003,0.0001406425174511123
37,0.8999999999999999,2.8000000000000003,0.00012357864473517625
38,0.9999999999999999,2.8000000000000003,8.099987429921156e-05
39,1.0999999999999999,2.8000000000000003,4.141421891817253e-05
40,1.1999999999999997,2.8000000000000003,1.713917031787414e-05
41,1.2999999999999998,2.8000000000000003,5.920996456672149e-06
42,1.4,2.8000000000000003,1.7523394185138508e-06
