,gamma,alpha,p
0,0.5,2.5,1.2948157179913613e-08
1,0.6,2.5,9.296095382504164e-08
2,0.7,2.5,2.317538188504677e-07
3,0.7999999999999999,2.5,2.4193893504489297e-07
4,0.8999999999999999,2.5,1.2250049759282133e-07
5,0.9999999999999999,2.5,3.3829738716057713e-08
6,1.0999999999999999,2.5,5.604247313597968e-09
7,1.1999999999999997,2.5,6.021563308048235e-10
8,1.2999999999999998,2.5,4.4770345416329873e-11
9,1.4,2.5,2.43148827106649e-12
10,1.4999999999999998,2.5,1.0096328069744415e-13
11,0.5,2.6,1.5898260497983216e-07
12,0.6,2.6,1.2235893106612318e-06
13,0.7,2.6,3.234994506409238e-06
14,0.7999999999999999,2.6,3.550238186308403e-06
15,0.8999999999999999,2.6,1.876127683833299e-06
16,0.9999999999999999,2.6,5.375230036703284e-07
17,1.0999999999999999,2.6,9.192193126184276e-08
18,1.1999999999999997,2.6,1.01529405498249e-08
19,1.2999999999999998,2.6,7.732417926964237e-10
20,1.4,2.6,4.2887883562059254e-11
21,1.4999999999999998,2.6,1.814061147910528e-12
22,0.5,2.7,1.3246531338879647e-06
23,0.6,2.7,1.0914380321554466e-05
24,0.7,2.7,3.056251631258607e-05
25,0.7999999999999999,2.7,3.5216051595090304e-05
26,0.8999999999999999,2.7,1.940000162570114e-05
27,0.9999999999999999,2.7,5.759886820499473e-06
28,1.0999999999999999,2.7,1.0156943432753035e-06
29,1.1999999999999997,2.7,1.1520190809380474e-07
30,1.2999999999999998,2.7,8.978172391975129e-09
31,1.4,2.7,5.080730850209724e-10
32,1.4999999999999998,2.7,2.1871032363263235e-11
33,0.5,2.8000000000000003,7.733745448122601e-06
34,0.6,2.8000000000000003,6.813292878241785e-05
35,0.7,2.8000000000000003,0.00020182866658220976
36,0.7999999999999999,2.8000000000000003,0.000243897495245309
37,0.8999999999999999,2.8000000000000003,0.00013991034143546015
38,0.9999999999999999,2.8000000000000003,4.300147889867126e-05
39,1.0999999999999999,2.8000000000000003,7.811264874263816e-06
40,1.1999999999999997,2.8000000000000003,9.089110096817098e-07
41,1.2999999999999998,2.8000000000000003,7.241873807652289e-08
42,1.4,2.8000000000000003,4.17754691073313e-09
43,1.4999999999999998,2.8000000000000003,1.8286035189766494e-10
44,0.5,2.9000000000000004,3.2548367977830255e-05
45,0.6,2.9000000000000004,0.00030624065184548806
46,0.7,2.9000000000000004,0.0009586196632815636
47,0.7999999999999999,2.9000000000000004,0.0012136344443593509
