,gamma,alpha,p
0,0.7,3.1,0.1522066605901888
1,0.7999999999999999,3.1,0.08329743554327275
2,0.8999999999999999,3.1,0.023557005722039934
3,0.9999999999999999,3.1,0.0038536876696785784
4,1.0999999999999999,3.1,0.0003991847469347767
5,0.7,3.2,0.14942846050537872
6,0.7999999999999999,3.2,0.08470878633913807
7,0.8999999999999999,3.2,0.024654929443964847
8,0.9999999999999999,3.2,0.004129594075690349
9,1.0999999999999999,3.2,0.00043616063864038027
10,0.7,3.3000000000000003,0.1174937359251488
11,0.7999999999999999,3.3000000000000003,0.0689513137818553
12,0.8999999999999999,3.3000000000000003,0.02064233914704682
13,0.9999999999999999,3.3000000000000003,0.0035381762556496174
14,1.0999999999999999,3.3000000000000003,0.0003808404934127542
15,0.7,3.4000000000000004,0.07510381397338547
16,0.7999999999999999,3.4000000000000004,0.045600959656896034
17,0.8999999999999999,3.4000000000000004,0.014034702726870338
18,0.9999999999999999,3.4000000000000004,0.0024605339310987675
19,1.0999999999999999,3.4000000000000004,0.0002697864822750714
20,0.7,3.5000000000000004,0.03955843552047598
21,0.7999999999999999,3.5000000000000004,0.02483702627790896
22,0.8999999999999999,3.5000000000000004,0.007854671168547732
23,0.9999999999999999,3.5000000000000004,0.0014078750931273876
24,1.0999999999999999,3.5000000000000004,0.0001571815239149666
25,0.7,3.6000000000000005,0.017380618822107192
26,0.7999999999999999,3.6000000000000005,0.01127843423848343
27,0.8999999999999999,3.6000000000000005,0.0036633164950971315
28,0.9999999999999999,3.6000000000000005,0.0006710237487151668
29,1.0999999999999999,3.6000000000000005,7.625268428388361e-05
30,0.7,3.7000000000000006,0.0064413857253590055
31,0.7999999999999999,3.7000000000000006,0.004317860289131889
32,0.8999999999999999,3.7000000000000006,0.0014397889633052923
33,0.9999999999999999,3.7000000000000006,0.00026941232946836504
34,1.0999999999999999,3.7000000000000006,3.115009480824355e-05
35,0.7,3.8000000000000007,0.00203420829434486
36,0.7999999999999999,3.8000000000000007,0.0014079240053601948
37,0.8999999999999999,3.8000000000000007,0.0004817579085503237
38,0.9999999999999999,3.8000000000000007,9.205319349455903e-05
39,1.0999999999999999,3.8000000000000007,1.0825786123780234e-05
40,0.7,3.900000000000001,0.0005525233108987615
41,0.7999999999999999,3.900000000000001,0.0003946593870114239
42,0.8999999999999999,3.900000000000001,0.0001385198183517666
43,0.9999999999999999,3.900000000000001,2.70181778031522e-05
44,1.0999999999999999,3.900000000000001,3.2308489774522658e-06
45,0.7,4.000000000000001,0.00013018055973851455
46,0.7999999999999999,4.000000000000001,9.591865343609055e-05
47,0.8999999999999999,4.000000000000001,3.451891882003045e-05
48,0.9999999999999999,4.000000000000001,6.870419842836011e-06
49,1.0999999999999999,4.000000000000001,8.351239809749902e-07
50,0.7,4.100000000000001,2.6815345405865517e-05
51,0.7999999999999999,4.100000000000001,2.0371600559159886e-05
52,0.8999999999999999,4.100000000000001,7.514013534758896e-06
53,0.9999999999999999,4.100000000000001,1.525568390348914e-06
54,1.0999999999999999,4.100000000000001,1.8844207405965935e-07
