,gamma,alpha,p
0,0.5,2.5,5.253928160913158e-07
1,0.6,2.5,3.4636724346752095e-06
2,0.7,2.5,8.56482863592087e-06
3,0.7999999999999999,2.5,9.45959722663993e-06
4,0.8999999999999999,2.5,5.350045178412375e-06
5,0.9999999999999999,2.5,1.727846280332479e-06
6,1.0999999999999999,2.5,3.4803941472306145e-07
7,1.1999999999999997,2.5,4.7003029277254285e-08
8,1.2999999999999998,2.5,4.518541271364495e-09
9,1.4,2.5,3.25063962101927e-10
10,1.4999999999999998,2.5,1.825267267149411e-11
11,0.5,2.6,3.856242681690949e-06
12,0.6,2.6,2.7070171965506505e-05
13,0.7,2.6,7.055002726399544e-05
14,0.7999999999999999,2.6,8.145306256884474e-05
15,0.8999999999999999,2.6,4.78349446801943e-05
16,0.9999999999999999,2.6,1.5953627627353343e-05
17,1.0999999999999999,2.6,3.3034818354181332e-06
18,1.1999999999999997,2.6,4.568874585440043e-07
19,1.2999999999999998,2.6,4.483713954583209e-08
20,1.4,2.6,3.283958897686875e-09
21,1.4999999999999998,2.6,1.8730760081462081e-10
22,0.5,2.7,1.9926850055647555e-05
23,0.6,2.7,0.0001487673604362667
24,0.7,2.7,0.00040815534415680543
25,0.7999999999999999,2.7,0.0004920372785172977
26,0.8999999999999999,2.7,0.00029971817288346
27,0.9999999999999999,2.7,0.00010311829977933639
28,1.0999999999999999,2.7,2.192789612130507e-05
29,1.1999999999999997,2.7,3.102781882093635e-06
30,1.2999999999999998,2.7,3.105492436412084e-07
31,1.4,2.7,2.3136132207103296e-08
32,1.4999999999999998,2.7,1.3392948754830515e-09
33,0.5,2.8000000000000003,7.46336555057277e-05
34,0.6,2.8000000000000003,0.0005919097072272701
35,0.7,2.8000000000000003,0.001707711778528173
36,0.7999999999999999,2.8000000000000003,0.0021473242038890375
37,0.8999999999999999,2.8000000000000003,0.001355362103958096
38,0.9999999999999999,2.8000000000000003,0.0004805828253741517
39,1.0999999999999999,2.8000000000000003,0.00010485176090674709
40,1.1999999999999997,2.8000000000000003,1.5165609566794247e-05
41,1.2999999999999998,2.8000000000000003,1.5467410180852732e-06
42,1.4,2.8000000000000003,1.1711727802614284e-07
43,1.4999999999999998,2.8000000000000003,6.875290995114906e-09
44,0.5,2.9000000000000004,0.00020788323668495136
45,0.6,2.9000000000000004,0.0017495928902556757
46,0.7,2.9000000000000004,0.005302791130421246
47,0.7999999999999999,2.9000000000000004,0.006948394741841519
48,0.8999999999999999,2.9000000000000004,0.004540338730440774
49,0.9999999999999999,2.9000000000000004,0.0016577167277748571
