,gamma,alpha,p
0,0.5,2.5,2.2084094124486878e-09
1,0.6,2.5,3.7650058162072464e-08
2,0.7,2.5,2.2535818536815065e-07
3,0.7999999999999999,2.5,5.68799437789485e-07
4,0.8999999999999999,2.5,6.989338590853848e-07
5,0.9999999999999999,2.5,4.69004446963364e-07
6,1.0999999999999999,2.5,1.8863781095179427e-07
7,1.1999999999999997,2.5,4.909050450706947e-08
8,1.2999999999999998,2.5,8.806976778644236e-09
9,1.4,2.5,1.1485922332526362e-09
10,1.4999999999999998,2.5,1.1388075275222619e-10
11,0.5,2.6,1.9932612253139194e-08
12,0.6,2.6,3.6428226415513153e-07
13,0.7,2.6,2.312264048663985e-06
14,0.7999999999999999,2.6,6.134773683977008e-06
15,0.8999999999999999,2.6,7.86704175431348e-06
16,0.9999999999999999,2.6,5.476264956525098e-06
17,1.0999999999999999,2.6,2.273497926646275e-06
18,1.1999999999999997,2.6,6.081304647022827e-07
19,1.2999999999999998,2.6,1.1174287354500989e-07
20,1.4,2.6,1.4881518560596963e-08
21,1.4999999999999998,2.6,1.502825213158666e-09
22,0.5,2.7,1.268571490271989e-07
23,0.6,2.7,2.482109795054665e-06
24,0.7,2.7,1.668699233504702e-05
25,0.7999999999999999,2.7,4.64836730673754e-05
26,0.8999999999999999,2.7,6.213756237841188e-05
27,0.9999999999999999,2.7,4.482111086159239e-05
28,1.0999999999999999,2.7,1.9186358070260504e-05
29,1.1999999999999997,2.7,5.269722746504846e-06
30,1.2999999999999998,2.7,9.907909516184124e-07
31,1.4,2.7,1.3461483571054262e-07
32,1.4999999999999998,2.7,1.3833855315691482e-08
33,0.5,2.8000000000000003,5.86040218123153e-07
34,0.6,2.8000000000000003,1.2261744807683602e-05
35,0.7,2.8000000000000003,8.721197635689541e-05
36,0.7999999999999999,2.8000000000000003,0.00025479368251167094
37,0.8999999999999999,2.8000000000000003,0.00035467461739511406
38,0.9999999999999999,2.8000000000000003,0.0002648363475477459
39,1.0999999999999999,2.8000000000000003,0.00011677968740952777
40,1.1999999999999997,2.8000000000000003,3.290421142771995e-05
41,1.2999999999999998,2.8000000000000003,6.324534376889627e-06
42,1.4,2.8000000000000003,8.758906992648517e-07
43,1.4999999999999998,2.8000000000000003,9.152321872061384e-08
44,0.5,2.9000000000000004,2.016221220407606e-06
45,0.6,2.9000000000000004,4.506144792745333e-05
46,0.7,2.9000000000000004,0.0003387218808519374
47,0.7999999999999999,2.9000000000000004,0.0010368447867749686
48,0.8999999999999999,2.9000000000000004,0.0015015103599500465
49,0.9999999999999999,2.9000000000000004,0.0011595683533705751
50,1.0999999999999999,2.9000000000000004,0.0005262382068726771
51,1.1999999999999997,2.9000000000000004,0.00015198000818430362
52,1.2999999999999998,2.9000000000000004,2.9839480943222015e-05
53,1.4,2.9000000000000004,4.209025614404461e-06
54,1.4999999999999998,2.9000000000000004,4.4685398123108705e-07
55,0.5,3.0000000000000004,5.2848995967353184e-06
56,0.6,3.0000000000000004,0.00012603775600768943
57,0.7,3.0000000000000004,0.001000308819473459
58,0.7999999999999999,3.0000000000000004,0.0032052729810970485
59,0.8999999999999999,3.0000000000000004,0.0048247315737037074
60,0.9999999999999999,3.0000000000000004,0.0038503296020146187
61,1.0999999999999999,3.0000000000000004,0.0017969285741386949
62,1.1999999999999997,3.0000000000000004,0.0005315190714664536
63,1.2999999999999998,3.0000000000000004,0.00010651927274874734
64,1.4,3.0000000000000004,1.5292428070626094e-05
65,1.4999999999999998,3.0000000000000004,1.6484048291353142e-06
66,0.5,3.1000000000000005,1.0770632825154585e-05
67,0.6,3.1000000000000005,0.00027383168832254093
68,0.7,3.1000000000000005,0.002292569496388992
69,0.7999999999999999,3.1000000000000005,0.007683280467920095
70,0.8999999999999999,3.1000000000000005,0.01201157349728282
71,0.9999999999999999,3.1000000000000005,0.009898033914253514
72,1.0999999999999999,3.1000000000000005,0.0047469046304444385
73,1.1999999999999997,3.1000000000000005,0.0014370677501957284
74,1.2999999999999998,3.1000000000000005,0.0002937635429178135
75,1.4,3.1000000000000005,4.2896526737727184e-05
76,1.4999999999999998,3.1000000000000005,4.691822286347921e-06
77,0.5,3.2000000000000006,1.7379796393711768e-05
78,0.6,3.2000000000000006,0.0004706193170885606
79,0.7,3.2000000000000006,0.004152872794663181
80,0.7999999999999999,3.2000000000000006,0.01454538121180605
81,0.8999999999999999,3.2000000000000006,0.02359946749213579
82,0.9999999999999999,3.2000000000000006,0.02006646780105346
83,1.0999999999999999,3.2000000000000006,0.00988259573253029
84,1.1999999999999997,3.2000000000000006,0.0030601253746499373
85,1.2999999999999998,3.2000000000000006,0.0006376841524455109
86,1.4,3.2000000000000006,9.465661671233159e-05
87,1.4999999999999998,3.2000000000000006,1.0499229263138695e-05
88,0.5,3.3000000000000007,2.2570322085098435e-05
89,0.6,3.3000000000000007,0.00065038127646325
90,0.7,3.3000000000000007,0.0060442501761420525
91,0.7999999999999999,3.3000000000000007,0.022108160917708293
92,0.8999999999999999,3.3000000000000007,0.03720111287535947
93,0.9999999999999999,3.3000000000000007,0.03261851162036997
94,1.0999999999999999,3.3000000000000007,0.016486843512614296
95,1.1999999999999997,3.3000000000000007,0.005218612215571823
96,1.2999999999999998,3.3000000000000007,0.0011079667295682614
97,1.4,3.3000000000000007,0.00016709491038719338
98,1.4999999999999998,3.3000000000000007,1.878608151035029e-05
99,0.5,3.400000000000001,2.3939326009061983e-05
100,0.6,3.400000000000001,0.0007334750644207794
101,0.7,3.400000000000001,0.007173448852326636
102,0.7999999999999999,3.400000000000001,0.027382439084250466
103,0.8999999999999999,3.400000000000001,0.047755573832468694
104,0.9999999999999999,3.400000000000001,0.04315315526140265
105,1.0999999999999999,3.400000000000001,0.022372559276080405
106,1.1999999999999997,3.400000000000001,0.0072352331335497665
107,1.2999999999999998,3.400000000000001,0.0015642690482529844
108,1.4,3.400000000000001,0.00023956953058138552
109,1.4999999999999998,3.400000000000001,2.7288078668856643e-05
110,0.5,3.500000000000001,2.1015849929142116e-05
111,0.6,3.500000000000001,0.0006840912991640156
112,0.7,3.500000000000001,0.007035775511791787
113,0.7999999999999999,3.500000000000001,0.02800953948554249
114,0.8999999999999999,3.500000000000001,0.05059945337346211
115,0.9999999999999999,3.500000000000001,0.04709483437556754
116,1.0999999999999999,3.500000000000001,0.025031175646956325
117,1.1999999999999997,3.500000000000001,0.008266596766684172
118,1.2999999999999998,3.500000000000001,0.0018191751778842465
119,1.4,3.500000000000001,0.00028280734075721177
120,1.4999999999999998,3.500000000000001,3.2622882026647893e-05
121,0.5,3.600000000000001,1.545558169383069e-05
122,0.6,3.600000000000001,0.0005340807379898315
123,0.7,3.600000000000001,0.005772431800552399
124,0.7999999999999999,3.600000000000001,0.023951437467176397
125,0.8999999999999999,3.600000000000001,0.04479326598405131
126,0.9999999999999999,3.600000000000001,0.04291932163656457
127,1.0999999999999999,3.600000000000001,0.023375270755822814
128,1.1999999999999997,3.600000000000001,0.007879825368733358
129,1.2999999999999998,3.600000000000001,0.0017642975747246962
130,1.4,3.600000000000001,0.0002783003894180032
131,1.4999999999999998,3.600000000000001,3.249939318156575e-05
132,0.5,3.700000000000001,9.627107977295485e-06
133,0.6,3.700000000000001,0.00035289136749681687
134,0.7,3.700000000000001,0.004005486336074141
135,0.7999999999999999,3.700000000000001,0.017311965221784086
136,0.8999999999999999,3.700000000000001,0.03349915078710612
137,0.9999999999999999,3.700000000000001,0.03302727906334872
138,1.0999999999999999,3.700000000000001,0.01842369190111358
139,1.1999999999999997,3.700000000000001,0.0063368113519351385
140,1.2999999999999998,3.700000000000001,0.001443001008470893
141,1.4,3.700000000000001,0.0002308762081002803
142,1.4999999999999998,3.700000000000001,2.7285080069912046e-05
143,0.5,3.800000000000001,5.130125109198711e-06
144,0.6,3.800000000000001,0.0001993300925410995
145,0.7,3.800000000000001,0.002374464125965974
146,0.7999999999999999,3.800000000000001,0.010683741152583293
147,0.8999999999999999,3.800000000000001,0.021379206676975553
148,0.9999999999999999,3.800000000000001,0.02167833703860046
149,1.0999999999999999,3.800000000000001,0.01238069815413742
150,1.1999999999999997,3.800000000000001,0.004343149691205932
151,1.2999999999999998,3.800000000000001,0.0010055104681160588
152,1.4,3.800000000000001,0.0001631274818913188
153,1.4999999999999998,3.800000000000001,1.950408981669846e-05
154,0.5,3.9000000000000012,2.360255569815056e-06
155,0.6,3.9000000000000012,9.713717882930384e-05
156,0.7,3.9000000000000012,0.0012136107563346168
157,0.7999999999999999,3.9000000000000012,0.005681450152172725
158,0.8999999999999999,3.9000000000000012,0.011751424919487193
159,0.9999999999999999,3.9000000000000012,0.012249693134881896
160,1.0999999999999999,3.9000000000000012,0.007159520836968731
161,1.1999999999999997,3.9000000000000012,0.0025606495377215417
162,1.2999999999999998,3.9000000000000012,0.0006025225925469791
163,1.4,3.9000000000000012,9.908544608406775e-05
164,1.4999999999999998,3.9000000000000012,1.1982289635772178e-05
165,0.5,4.000000000000002,9.454419400287141e-07
166,0.6,4.000000000000002,4.1184093545709404e-05
167,0.7,4.000000000000002,0.0005393276000688401
168,0.7999999999999999,4.000000000000002,0.002625522344150079
169,0.8999999999999999,4.000000000000002,0.005610464108222514
170,0.9999999999999999,4.000000000000002,0.006009599637824761
171,1.0999999999999999,4.000000000000002,0.003593151215278897
172,1.1999999999999997,4.000000000000002,0.0013097759956719704
173,1.2999999999999998,4.000000000000002,0.00031313050233767125
174,1.4,4.000000000000002,5.2183672867161245e-05
175,1.4999999999999998,4.000000000000002,6.38092994953871e-06
176,0.5,4.100000000000001,3.322806264460262e-07
177,0.6,4.100000000000001,1.5309416961257878e-05
178,0.7,4.100000000000001,0.00021001170312327094
179,0.7999999999999999,4.100000000000001,0.001062566032053181
180,0.8999999999999999,4.100000000000001,0.0023446852664259265
181,0.9999999999999999,4.100000000000001,0.0025796495708047254
182,1.0999999999999999,4.100000000000001,0.0015772461206762561
183,1.1999999999999997,4.100000000000001,0.0005857759431320158
184,1.2999999999999998,4.100000000000001,0.00014224451943931147
185,1.4,4.100000000000001,2.4016040126884846e-05
186,1.4999999999999998,4.100000000000001,2.9686950384398516e-06
187,0.5,4.200000000000001,1.0319380087090725e-07
188,0.6,4.200000000000001,5.0252843808931866e-06
