sub,img,information_content
0,10005,34.98186179864746
0,10018,43.42045170308731
0,10042,38.906493197042636
0,10077,37.88107693453531
0,10157,35.89574993932613
0,10168,28.253807569625852
0,10183,48.51621208340471
0,10369,31.206376309723087
0,10407,45.54357633290343
0,10447,70.99484394422034
0,10587,32.432239039875846
0,10619,31.52803025406117
0,10632,29.16513524337932
0,10653,29.045441011228895
0,10660,36.83892772658005
0,10702,60.99302155104128
0,10732,42.90412698122773
0,10750,42.41432587570887
0,10842,34.2124195868255
0,10864,25.339065259958158
1,10005,38.412146633298846
1,10018,50.18149253038568
1,10042,27.187319784905718
1,10077,32.955719446336964
1,10157,37.38924790751419
1,10168,31.755441568671976
1,10183,42.13662925263337
1,10369,31.655976739133532
1,10407,49.33519914029523
1,10447,45.70176111337813
1,10587,56.17255801107767
1,10619,32.25693326496923
1,10632,31.463095949385675
1,10653,38.940756120825775
1,10660,34.197036055138746
1,10702,36.424994204064916
1,10732,46.185850809707354
1,10750,52.24199581799929
1,10842,37.099865883133766
1,10864,28.558347239190734
2,10005,47.263864902455616
2,10018,44.73111222686811
2,10042,51.51878106871151
2,10077,34.64396283582755
2,10157,38.43823753953667
2,10168,25.42860260958132
2,10183,41.585355945580815
2,10369,29.014307612435815
2,10407,73.98377014079963
2,10447,52.89433434054824
2,10587,57.153260189882396
2,10619,30.70031326042271
2,10632,30.71975338528058
2,10653,33.70300386553231
2,10660,35.71366614280989
2,10702,45.272101342571034
2,10732,38.21963136169939
2,10750,36.504428429350575
2,10842,39.988808704205766
2,10864,28.16567151537753
3,10005,34.42631599935016
3,10018,50.81118144399615
3,10042,26.108523867582274
3,10077,37.362903856285804
3,10157,35.17739853898672
3,10168,36.3357312103587
3,10183,40.6608990848114
3,10369,33.21601802366672
3,10407,29.285421865513534
3,10447,34.55376440717041
3,10587,85.6222106234739
3,10619,37.435835346996406
3,10632,31.10013825380738
3,10653,28.279809027219596
3,10660,36.60953270103002
3,10702,40.44868291519795
3,10732,27.281711706154265
3,10750,30.626174389494594
3,10842,41.24728894741371
3,10864,30.565334707489995
4,10005,37.76089992933066
4,10018,45.81134577707004
4,10042,26.661242963002106
4,10077,36.84962915532021
4,10157,37.70751883421995
4,10168,43.72296851568783
4,10183,34.3203124094219
4,10369,34.074519237409376
4,10407,53.112673069759474
4,10447,70.78922202110274
4,10587,35.99656695200456
4,10619,44.8003897432286
4,10632,31.988690953250316
4,10653,31.537614373996867
4,10660,38.02860339526219
4,10702,50.313569662277125
4,10732,31.276102470099772
4,10750,25.916955211005348
4,10842,40.20272949387197
4,10864,35.70119472565497
5,10005,36.50273212450587
5,10018,46.29493218595928
5,10042,40.891217470721536
5,10077,32.43771272046808
5,10157,33.78952675943959
5,10168,42.97308543285607
5,10183,39.63624474623747
5,10369,38.262907625293906
5,10407,49.52187546752441
5,10447,77.26812211744078
5,10587,72.11382410994271
5,10619,47.47969870086093
5,10632,33.98431544032912
5,10653,34.62935375707473
5,10660,39.54464947719337
5,10702,53.77454967045809
5,10732,35.591415904678136
5,10750,23.44741194718026
5,10842,41.107677284665584
5,10864,34.98705114206709
6,10005,41.925619555509606
6,10018,43.68934620143077
6,10042,57.73311114488675
6,10077,35.95882709980734
6,10157,33.389217953803545
6,10168,45.28604769841695
6,10183,40.12778215300644
6,10369,28.765237261261877
6,10407,29.698940878182132
6,10447,32.42863957048586
6,10587,73.53251168162063
6,10619,26.899213637566987
6,10632,32.31494654580004
6,10653,37.28096541753244
6,10660,35.619543868746256
6,10702,41.87355853100837
6,10732,40.957907953945266
6,10750,35.15685583116701
6,10842,39.68338027395732
6,10864,32.174273608687486
7,10005,35.110894004174384
7,10018,42.8967875712293
7,10042,39.6498262077286
7,10077,30.608837476415665
7,10157,35.270315510597406
7,10168,53.66536555817553
7,10183,38.335978271558
7,10369,30.64373158266483
7,10407,74.87363028406465
7,10447,55.9253361733139
7,10587,58.78538018540993
7,10619,29.737553063341
7,10632,32.30646741994788
7,10653,51.505867398204785
7,10660,43.74471514264655
7,10702,49.99083829950689
7,10732,41.21779744940416
7,10750,45.947583396911426
7,10842,37.145420035714544
7,10864,30.701107384124885
8,10005,34.32736294238133
8,10018,43.02063173273294
8,10042,43.343796975968566
8,10077,30.68209783290462
8,10157,37.47301702498291
8,10168,46.29776337874896
8,10183,33.60869653534366
8,10369,29.525275526606812
8,10407,77.16397143542642
8,10447,59.89768063151735
8,10587,52.00107801321468
8,10619,47.822301091601325
8,10632,35.83046854853014
8,10653,41.588509374623996
8,10660,35.71682391672472
8,10702,70.29381576116744
8,10732,42.3792603713101
8,10750,34.98964763110805
8,10842,35.42016472853624
8,10864,30.14289266623346
9,10005,37.4801958288765
9,10018,42.51159060996714
9,10042,45.96233831161563
9,10077,33.71466148882579
9,10157,37.03614828009403
9,10168,60.35547358362968
9,10183,50.67655505606846
9,10369,29.535200880247732
9,10407,56.05304125713027
9,10447,68.67020568391231
9,10587,42.456442179799424
9,10619,53.85793220955169
9,10632,31.932491330689793
