sub,img,information_content,conditional_entropy,num_TreeSpace,flattestTreeDepth
0,10005,2.414397078510309,1.5180592430826576,11,3
0,10018,-2.4990153706752807,3.5707136242721496,197,2
0,10042,1.0826308723770388,2.6362075019278848,45,3
0,10077,4.43827348981594,1.6849130268075792,9,4
0,10157,-1.929981440676285,3.5749711119192367,197,2
0,10168,7.280723982563496,0.8035839636503053,3,5
0,10183,1.6784414199613131,2.31242739389725,33,3
0,10369,-0.10935347208135994,2.7868759695773977,45,3
0,10407,5.101188157812891,1.9005670892503959,11,4
0,10447,6.767664191865514,0.8388322471754008,3,5
0,10587,8.039750125992953,0.7680561599321812,3,5
0,10619,7.685647036769901,0.5927343647134602,3,5
0,10632,0.5536223364396982,2.202268740985849,45,3
0,10653,10.468846185460594,0.0,1,6
0,10660,-1.2222782449021417,3.6661587747933635,197,2
0,10702,3.2261597908118236,1.5365191096554445,11,4
0,10732,9.879140005221807,0.0,1,5
0,10750,7.085978196453902,0.9459029600822293,3,4
0,10842,-0.6991733476072987,2.2960152136623937,45,3
0,10864,5.922423900559986,0.9789133210143377,3,4
1,10005,2.0036811206975904,1.5906668847591166,11,3
1,10018,-1.5593193893559134,4.01982763444215,197,2
1,10042,0.9901073944897929,2.731309402900108,45,3
1,10077,3.8385355543958517,1.724543300143858,9,4
1,10157,-1.4955912797603932,3.2874402571974355,197,2
1,10168,6.987397234379448,0.8264584700145996,3,5
1,10183,0.7276675571592023,2.3640340360793064,33,3
1,10369,0.5116996902323993,2.8357908862293955,45,3
1,10407,3.7760366530157845,1.703362599341141,11,4
1,10447,5.9182891427988045,0.8359186947896815,3,5
1,10587,7.220626627458641,0.9631810743593135,3,5
1,10619,7.6405232398800536,0.5850336870620475,3,5
1,10632,0.826285172046818,2.255629079238483,45,3
1,10653,9.535392870008016,0.0,1,6
1,10660,-1.9830395949486908,3.5977467270587677,197,2
1,10702,3.144192537455161,1.5001413635726148,11,4
1,10732,10.384597648651889,0.0,1,5
1,10750,6.253308676728498,0.9024727632271337,3,4
1,10842,-0.35252337416643104,2.370969907670806,45,3
1,10864,5.235526777214174,0.9542985854362609,3,4
2,10005,3.4677702171751994,1.6149718850401393,11,3
2,10018,-1.8943518305061198,3.8899905665775525,197,2
2,10042,1.12645872042926,2.684814104539183,45,3
2,10077,3.766338120445734,1.7210228368717173,9,4
2,10157,-1.1205352960909323,3.4696661420316515,197,2
2,10168,6.666326758278002,0.8371761757215004,3,5
2,10183,0.6113115156028294,2.3963038661905,33,3
2,10369,-0.23077794231221405,2.7733283266598354,45,3
2,10407,3.80327467273722,1.732936706669152,11,4
2,10447,3.144268924004668,1.6253537506625375,11,4
2,10587,7.190108362703761,0.9483760766720867,3,5
2,10619,8.082355022939078,0.5434306059564271,3,5
2,10632,0.2968603661254966,2.2310195789314307,45,3
2,10653,9.607136662292865,0.0,1,6
2,10660,-1.6049071076404504,3.3061945237162327,197,2
2,10702,3.013379460051097,1.5071048743293616,11,4
2,10732,9.507343915266446,0.0,1,5
2,10750,6.312371296890041,0.9266721257690111,3,4
2,10842,0.5731967604467719,2.355640947927359,45,3
2,10864,5.6135472756905935,0.92552271758198,3,4
3,10005,2.435843320759474,1.5506575572515948,11,3
3,10018,0.18128496725437596,3.7605247325119278,197,2
3,10042,1.121557586860312,2.665032439455016,45,3
3,10077,3.605710825005886,1.7102051412859003,9,4
3,10157,-1.7308617070040788,3.5504429791907093,197,2
3,10168,6.495753794180734,0.5760437533869531,3,5
3,10183,0.6081060679044966,2.548390020450647,33,3
3,10369,0.13979393233676105,2.6378895306975756,45,3
3,10407,3.485144725434914,1.6180853181063402,11,4
3,10447,4.716316206364201,1.7275893197637109,9,4
3,10587,5.620854811872617,1.8579428818987767,9,4
3,10619,6.74506130197402,0.5606546245985158,3,5
3,10632,0.9972884056713545,2.136827945824142,45,3
3,10653,8.445033003201289,0.0,1,5
3,10660,-1.4752158153197545,3.4173559413936054,197,2
3,10702,0.9457094609900116,2.693282904668629,45,3
3,10732,5.419384722812776,0.900357631584418,3,4
3,10750,5.985096758399303,0.9795668527616165,3,4
3,10842,1.020392412930038,2.296239010495731,45,3
3,10864,5.550967140359425,0.9361900563130869,3,4
4,10005,3.3105282505145532,1.5475308588774963,11,3
4,10018,-0.9119503960710184,3.789506963062202,197,2
4,10042,1.946621316838516,2.6567039238660786,45,3
4,10077,3.3995614839920525,1.543846186998096,9,4
4,10157,-1.114997506298048,3.4988960560275064,197,2
4,10168,6.5273191375012525,0.5222674784256377,3,5
4,10183,0.779579439589477,2.6475080737679137,33,3
4,10369,0.2788227136038985,2.606090947942929,45,3
4,10407,3.164006097941395,1.4568980944530645,11,4
4,10447,4.386533387203046,1.7332498380495247,9,4
4,10587,5.225495720621121,1.8237895063684988,9,4
4,10619,6.3458925066714835,0.5384420856474451,3,5
4,10632,0.7200550317139088,2.269255751025347,45,3
4,10653,10.249050811933797,0.0,1,5
4,10660,-0.16343265461501602,3.3987113997183265,197,2
4,10702,1.033337751064855,2.7737042814915642,45,3
4,10732,6.639183049901441,0.9422948428321658,3,4
4,10750,6.006144908532023,0.9615932063472101,3,4
4,10842,0.7812868550294557,2.3104569247063678,45,3
4,10864,6.039827513948842,0.9277134010775527,3,4
5,10005,2.899315732429632,1.506232783046511,11,3
5,10018,-1.7656977131740774,3.759212297891224,197,2
5,10042,2.5306585584896455,2.6740424489049333,45,3
5,10077,5.777066228962841,0.810105061008431,3,5
5,10157,-2.459749005933991,3.5328389923343546,197,2
5,10168,6.272479562801659,0.53616182518558,3,5
5,10183,1.022593197666844,2.607796557612529,33,3
5,10369,1.0659850125017383,2.542512444588171,45,3
5,10407,3.3056348363520835,1.4511122820491318,11,4
5,10447,4.586116547165683,1.706508011377128,9,4
5,10587,5.7428228540314015,1.7434062917923483,9,4
5,10619,6.677147567994149,0.5241561505296704,3,5
5,10632,0.7034087380165164,2.3697538797819893,45,3
5,10653,10.245788571607012,0.0,1,5
5,10660,-0.8016415984412485,3.2734250572123873,197,2
5,10702,1.3616935302880857,2.91540108393157,45,3
5,10732,8.791129577485894,0.0,1,5
5,10750,5.390899226399722,0.9076486620552185,3,4
5,10842,2.474599975904162,2.464092697550768,45,3
5,10864,6.1589659063195485,0.8849438089000883,3,4
6,10005,7.799329531234082,0.7698484312809454,3,4
6,10018,-1.7313211143853355,3.933126549831128,197,2
6,10042,1.0925044332167648,2.717790495152499,45,3
6,10077,4.434842519733909,1.7774168151252279,9,4
6,10157,-2.277329581212423,3.2864761646428433,197,2
6,10168,6.89975000455419,0.5342770132766534,3,5
6,10183,0.9871289880676377,2.5326255260957837,33,3
6,10369,0.5373722071415605,2.6596996541984828,45,3
6,10407,3.5080330848644925,1.5096993946074486,11,4
6,10447,3.966818984803622,1.730141535528464,9,4
6,10587,4.844197258677411,1.78038469797577,9,4
6,10619,6.844265466799594,0.5030015462716876,3,5
6,10632,0.22668209291728475,2.3129151376505828,45,3
6,10653,7.447679183512302,0.8379090971725411,3,4
6,10660,-1.9453476019008589,3.388178943216547,197,2
6,10702,1.4793330289968498,2.772366750561498,45,3
6,10732,7.199772296091079,0.5988333974271821,3,4
6,10750,9.122956612824964,0.0,1,5
6,10842,1.1047456870903805,2.31461002563603,45,3
6,10864,6.164028342758504,0.9586000154585944,3,4
7,10005,15.255823629663418,0.0,1,4
7,10018,-2.3580996638500573,3.733368599728019,197,2
7,10042,0.7809158392768161,2.6745289632432137,45,3
7,10077,6.568947304097349,0.7905490896730039,3,5
7,10157,-1.4384029406375334,3.337279886469357,197,2
7,10168,7.429425521192552,0.4873721736418293,3,5
7,10183,1.8438376654562423,2.443128812328205,33,3
7,10369,0.8243301171236265,2.5083356668569503,45,3
7,10407,4.807518879096646,1.6481179865915911,11,4
7,10447,4.526948832237615,1.6950643218964077,9,4
7,10587,4.766009430753247,1.8978034199081228,11,4
7,10619,8.17734915432662,0.46416161131292366,3,5
7,10632,0.7450460682471571,2.430466878106407,45,3
7,10653,10.5361774347006,0.37897026018320096,3,4
7,10660,-0.5007280104086363,3.2408282522390706,197,2
7,10702,3.1735198237939892,2.4719592724691135,45,3
7,10732,5.3122943410740495,1.3358206767635896,9,3
7,10750,9.453531393165932,0.0,1,5
7,10842,0.8509843724261413,2.2280464692275754,45,3
7,10864,6.798748062286936,0.9288848804279064,3,4
8,10005,7.266337544908195,0.0,1,4
8,10018,-2.0937264381521743,3.520891518458119,197,2
8,10042,0.8252545749815251,2.6461323808624706,45,3
8,10077,3.9248454381171785,1.6781342538566615,9,4
8,10157,-1.1050658385719874,3.3232558684691913,197,2
8,10168,4.174685809128548,1.629653315048417,9,4
8,10183,1.3658194771915926,2.448034334188852,33,3
8,10369,-0.7053004934527591,2.3924875144686286,45,3
8,10407,5.119670656952907,1.6421588784050705,9,4
8,10447,4.624265004810144,1.54383788994635,9,4
8,10587,3.3348562415855296,1.8425491458878724,11,4
8,10619,3.475627487546442,1.6047812850479752,11,4
8,10632,0.6441092788204466,2.552195642982873,45,3
8,10653,7.241897076684976,0.9346770235116535,3,4
8,10660,-1.8584157171427975,3.646971507819667,197,2
8,10702,3.8658580682708217,2.307065856163224,45,3
8,10732,4.618236735663904,1.4688899175889336,9,3
8,10750,8.453632324002506,0.0,1,5
8,10842,0.3260785545610138,2.107945326794042,45,3
8,10864,4.430016494073738,0.8592012326827303,3,4
9,10005,7.168494986588672,0.0,1,4
9,10018,-2.208529798047,3.487467368574106,197,2
9,10042,1.1240598335017111,2.607803803119457,45,3
9,10077,4.557552132079308,1.728810340199227,9,4
9,10157,-1.242259590885239,3.3660183990753847,197,2
9,10168,4.260532723469098,1.7750555656604425,9,4
9,10183,1.5328840087655382,2.576977645937566,33,3
9,10369,-0.2780481074257014,2.3257591663518804,45,3
9,10407,4.226998852613729,1.6940897666279646,9,4
9,10447,4.968645505432956,1.4469514872739366,9,4
9,10587,3.8459280009697903,1.8754051583814155,11,4
9,10619,3.3117495979187748,1.4985317426182032,11,4
9,10632,-0.2864007513784426,2.371569088933535,45,3
9,10653,5.779528105936162,0.9031131867581796,3,4
9,10660,-2.5371648847484733,3.5235891863916713,197,2
9,10702,2.480347164155681,2.540539911352032,45,3
9,10732,2.5071082731137233,1.5750663134021599,9,3
9,10750,8.365680508400935,0.0,1,5
9,10842,0.46111405263161914,2.2278945275421744,45,3
9,10864,6.353744110131337,0.0,1,4
10,10005,7.7716580573852605,0.0,1,4
10,10018,-2.2900613563757384,3.7430335479112613,197,2
10,10042,0.8803990690755867,2.688045075112678,45,3
10,10077,5.307358251253519,1.797915308208462,9,4
10,10157,-2.757055891047375,3.4901631057405647,197,2
10,10168,4.260532723469098,1.7750555656604425,9,4
10,10183,3.972037601403628,1.6011877840587623,9,3
10,10369,-0.680413531104831,2.467738856070696,45,3
10,10407,3.941015744267288,1.7104848387224976,9,4
10,10447,3.0485492665067357,1.6929554005606189,9,4
10,10587,3.991952377105203,1.9044223571266792,11,4
10,10619,3.8023430849167763,1.4895922370406185,11,4
10,10632,-0.6211674074003364,2.2434508072655097,45,3
10,10653,6.425755529876687,0.9523757306282699,3,4
10,10660,-2.920292914741571,3.410421676220378,197,2
10,10702,4.374306270008204,2.420510318220996,45,3
10,10732,3.9634309254405675,1.9522536703562017,11,3
10,10750,7.938464441488907,0.0,1,4
10,10842,-0.14120022488625733,2.341087887498698,45,3
10,10864,6.760612045051185,0.0,1,4
11,10005,8.069756009103653,0.0,1,4
11,10018,-1.8376125452802505,3.8934049017143244,197,2
11,10042,0.8274431708056816,2.7180566481857666,45,3
11,10077,5.1531491950672565,1.7587526817537371,9,4
11,10157,-2.6366376675556737,3.483739786382408,197,2
11,10168,4.681425532197762,1.7523345079894634,9,4
11,10183,4.383548269701924,1.6389652357186382,9,3
11,10369,-0.4519253529381366,2.774375275655703,45,3
11,10407,4.017797917436758,1.7049644349079924,9,4
11,10447,4.264688336875767,1.734779268596267,9,4
11,10587,4.648310136232786,1.8665041369235844,11,4
11,10619,4.640821390262788,1.4525795769963112,11,4
11,10632,-0.27705181720447986,2.205428356744217,45,3
11,10653,5.723259140940705,0.9519008759106787,3,4
11,10660,-2.4681947779558944,3.22498353389115,197,2
11,10702,3.5676190987038283,2.544388384018572,45,3
11,10732,4.585133855023496,1.9650800351493185,11,3
11,10750,7.0835477202286095,0.0,1,4
11,10842,0.6968360233312153,2.288102887551435,45,3
11,10864,6.352579034167504,0.0,1,4
12,10005,7.876937748367556,0.0,1,4
12,10018,-2.5680906804128467,3.6991147816582357,197,2
12,10042,1.082607350955938,2.6304147283365302,33,3
12,10077,5.1531491950672565,1.7587526817537371,9,4
12,10157,-2.8017969420107516,3.406465134803535,197,2
12,10168,4.664991112536711,1.7342987797536284,9,4
12,10183,3.841649546292917,1.599449662220739,9,3
12,10369,-0.5189447045630035,2.6569943631113677,45,3
12,10407,4.058657350928681,1.7891593308490732,9,4
12,10447,3.2400726147499506,1.6738751979700153,9,4
12,10587,4.017644876523737,1.9045136907664122,11,4
12,10619,4.961857479839735,1.4162070319327138,11,4
12,10632,-0.20719004900202073,2.257457715287183,45,3
12,10653,6.2129686910311035,0.9681392505790425,3,4
12,10660,-2.4413024692255068,3.1388896699702626,197,2
12,10702,2.47044250386397,2.5338066181584904,45,3
12,10732,5.565539993809102,1.8597299672198728,11,3
12,10750,7.709663692238342,0.0,1,4
12,10842,2.64772446605918,2.5586994574550466,45,3
12,10864,5.995753915842098,0.950059774904135,3,4
13,10005,7.600857143847642,0.0,1,4
13,10018,-0.90924813070162,3.5458404565541635,197,2
13,10042,0.7649198371249669,2.532069501087497,33,3
13,10077,5.275321781160948,1.7449311138702108,9,4
13,10157,-2.138247555083366,3.17339039044909,197,2
13,10168,5.38380078701475,1.7329604316811626,9,4
13,10183,3.6372769115052352,1.6304787834548546,9,3
13,10369,-0.44200055205611805,2.666997093679702,45,3
13,10407,4.141537598733475,1.768538381107881,9,4
13,10447,3.0144942183501926,1.6861925573221044,9,4
13,10587,4.30187510179041,1.8812394042295113,11,4
13,10619,4.548830476678909,1.4192568026756545,11,4
13,10632,-0.32401604607631496,2.3900866953696056,45,3
13,10653,6.569734957629871,0.9450605028133474,3,4
13,10660,-2.138612513900528,3.1826488466007117,197,2
13,10702,2.1924137092082976,2.4793437014901425,45,3
13,10732,5.543650313557808,1.9441355274426626,11,3
13,10750,6.939584595431354,0.0,1,4
13,10842,3.1514120554337777,2.6171440935639154,45,3
13,10864,6.159484577340341,0.9377455222000903,3,4
14,10005,7.509324101310033,0.0,1,4
14,10018,-1.5129788026270903,3.3851142126524154,197,2
14,10042,1.2516789670027948,2.6384427215608848,33,3
14,10077,2.928921508899127,1.8474824536741685,11,4
14,10157,-2.1556958532390196,3.146966524922807,197,2
14,10168,9.212427541176018,0.962834285752991,3,4
14,10183,3.5458049156250797,1.4743368115175501,11,3
14,10369,-0.6820065649831624,2.338693617880092,45,3
14,10407,4.73014055556858,1.6420703484839274,9,4
14,10447,0.6250076550647122,2.663564830240675,33,3
14,10587,4.092195849347038,1.8985919642632898,11,4
14,10619,5.0938049626593545,1.9243675521749117,21,3
14,10632,-0.2746149319478488,2.108963968037547,45,3
14,10653,6.450706078969585,0.9071791998639508,3,4
14,10660,-2.5289841976471594,3.2008681053300663,197,2
14,10702,1.4804641163480703,2.542724603151247,45,3
14,10732,1.7036318827886678,2.5663782914148108,45,3
14,10750,7.227281090722051,0.0,1,4
14,10842,1.0305050909218758,2.1814437211309343,45,3
14,10864,7.96451160260698,0.0,1,4
15,10005,5.026034693598053,0.9543209230573877,3,4
15,10018,-1.434142313635911,3.149435467210064,197,2
15,10042,0.7582306391695564,2.5536477278225185,33,3
15,10077,2.9100891972441647,1.8602920272463086,11,4
15,10157,-2.0165294373164677,3.1486258435754495,197,2
15,10168,7.128642143238821,0.9366549598023645,3,4
15,10183,4.778770863657248,1.4329300902225666,11,3
15,10369,-0.12169102975433183,2.581723369771526,45,3
15,10407,4.314133907661296,1.7124463685691032,9,4
15,10447,0.8666593902479321,2.636420801208195,33,3
15,10587,3.926488080954506,1.8810464160719245,11,4
15,10619,5.9088720933938745,0.7941493244130533,3,4
15,10632,-0.08696299081737907,2.123445004958392,45,3
15,10653,4.572707807500082,1.9531063293420938,11,3
15,10660,-1.880468182253002,3.1629492389761626,197,2
15,10702,1.3903756058672136,2.4987513245634823,45,3
15,10732,1.3672524968146615,2.4974258793464568,45,3
15,10750,6.156702092606131,0.898833099503371,3,4
15,10842,1.3742311829332137,2.275011224380684,45,3
15,10864,5.871369138183274,0.9228129215192313,3,4
16,10005,4.793012845203196,0.9573301602679982,3,4
16,10018,-2.4881897448146524,3.187693147726903,197,2
16,10042,0.7365103823967882,2.537121073036176,33,3
16,10077,3.252778665166721,1.8468913089590495,11,4
16,10157,-2.692824674163031,3.332799067383313,197,2
16,10168,6.999776919165304,0.9463839874517448,3,4
16,10183,3.8348082509632078,1.3762755562860522,11,3
16,10369,-0.48396359897376695,2.5130276044909636,45,3
16,10407,4.318133769760337,1.77701443705585,9,4
16,10447,0.9491440657937168,2.6464736834122475,33,3
16,10587,4.151324667407675,1.8976892196301929,11,4
16,10619,3.9515369833750404,2.243150772796378,21,3
16,10632,-0.3749550682708925,2.134795529201575,45,3
16,10653,3.6775750145873958,1.9955594851901384,11,3
16,10660,-2.573434325587941,3.210846163311561,197,2
16,10702,1.1134362378321996,2.5551500796897475,45,3
16,10732,1.1519288702990782,2.5571742205963544,45,3
16,10750,3.725455112549152,0.0,1,3
16,10842,1.4883132771406613,2.169230445064853,45,3
16,10864,2.2681719888834047,0.0,1,3
