Sub,Trial,img,type,RT,Reaction
12-wangsui,3,22,1,1781.365,0
12-wangsui,4,34,1,4844.32,1
12-wangsui,5,35,2,1028.199,0
12-wangsui,6,6,1,1360.912,0
12-wangsui,7,3,2,1831.804,0
12-wangsui,8,16,1,5392.959,0
12-wangsui,9,11,2,2813.418,0
12-wangsui,10,30,2,3050.35,0
12-wangsui,11,45,2,3082.591,0
12-wangsui,12,33,2,2886.187,0
12-wangsui,13,7,2,1239.226,1
12-wangsui,14,38,2,1880.706,0
12-wangsui,15,42,2,1145.502,0
12-wangsui,16,28,1,2072.994,1
12-wangsui,17,17,2,2366.389,1
12-wangsui,18,41,2,3317.977,0
12-wangsui,19,47,1,4050.288,0
12-wangsui,20,14,2,2658.494,0
12-wangsui,21,46,1,4187.271,1
12-wangsui,22,8,1,3848.264,1
12-wangsui,23,5,1,4149.394,0
12-wangsui,24,48,2,3677.773,0
12-wangsui,25,29,1,5012.69,1
12-wangsui,26,21,1,3006.962,1
12-wangsui,27,25,1,4178.582,0
12-wangsui,28,37,2,2098.124,1
12-wangsui,29,31,1,5234.937,0
12-wangsui,30,27,1,2906.177,0
12-wangsui,31,26,2,1871.51,1
12-wangsui,32,43,2,10642.262,1
12-wangsui,33,19,2,2107.245,1
12-wangsui,34,44,1,9924.629,0
12-wangsui,35,15,2,1984.633,0
12-wangsui,36,1,2,1833.604,0
12-wangsui,37,36,1,5631.081,0
12-wangsui,38,23,1,2953.54,0
12-wangsui,39,2,1,4193.751,0
12-wangsui,40,4,1,12451.177,1
12-wangsui,41,18,2,6635.306,0
12-wangsui,42,24,1,6716.415,0
12-wangsui,43,39,1,2668.997,1
12-wangsui,44,13,2,3587.09,0
12-wangsui,45,9,2,4610.185,0
12-wangsui,46,20,1,8754.356,1
12-wangsui,47,10,1,13368.967,1
12-wangsui,48,12,1,1269.27,1
yanniya-2,1,4,2,2519.685,0
yanniya-2,2,46,1,4235.283,1
yanniya-2,3,17,2,10565.956,1
yanniya-2,4,8,1,18368.434,1
yanniya-2,5,42,1,3531.297,0
yanniya-2,6,7,1,2337.487,0
yanniya-2,7,45,1,1814.95,0
yanniya-2,8,41,1,2289.745,0
yanniya-2,9,11,1,7010.508,0
yanniya-2,10,23,2,3272.396,1
yanniya-2,11,1,1,9559.338,1
yanniya-2,12,34,2,9111.26,1
yanniya-2,13,13,1,8871.175,0
yanniya-2,14,9,2,5737.756,1
yanniya-2,15,31,2,4295.548,0
yanniya-2,16,25,1,4762.48,0
yanniya-2,17,3,2,5218.3,0
yanniya-2,18,12,1,9915.273,0
yanniya-2,19,37,2,4541.219,1
yanniya-2,20,26,2,1668.44,0
yanniya-2,21,47,2,6999.102,1
yanniya-2,22,36,1,3356.24,0
yanniya-2,23,40,2,2366.603,0
yanniya-2,24,38,1,4952.579,1
yanniya-2,25,35,2,5622.388,1
yanniya-2,26,21,2,3962.071,1
yanniya-2,27,48,1,4774.325,0
yanniya-2,28,16,1,3850.453,0
yanniya-2,29,30,1,4307.641,0
yanniya-2,30,15,2,4472.618,0
yanniya-2,31,33,1,1973.706,0
yanniya-2,32,5,1,1705.878,0
yanniya-2,33,44,1,1886.19,0
3-pancancan,1,21,2,17372.392,1
3-pancancan,2,40,2,3551.067,0
3-pancancan,3,16,2,21619.585,1
3-pancancan,4,17,2,12658.675,0
3-pancancan,5,37,1,5114.302,1
3-pancancan,6,36,2,24622.725,0
3-pancancan,7,15,2,8575.315,1
3-pancancan,8,26,2,4003.437,0
3-pancancan,9,46,1,7371.585,1
3-pancancan,10,23,2,21460.584,1
3-pancancan,11,25,1,16059.261,0
3-pancancan,12,4,1,9391.794,0
3-pancancan,13,45,2,6461.702,1
3-pancancan,14,12,1,15420.626,0
3-pancancan,15,41,2,5074.721,1
3-pancancan,16,42,1,4608.433,0
3-pancancan,17,9,2,7415.848,1
