,z
0,-0.597760126042
1,0.189118426273
2,-0.934589291073
3,-1.43953147094
4,0.318639363964
5,-0.0627067779432
6,-0.45376219017
7,0.597760126042
8,0.0627067779432
9,0.45376219017
10,-0.75541502636
11,1.95996398454
12,1.15034938038
13,0.934589291073
14,-1.15034938038
15,0.45376219017
16,-0.318639363964
17,-1.43953147094
18,-0.0627067779432
19,1.43953147094
