,model_z_score
0,7.842265624791491
1,20.998684953771996
2,5.620846743405932
3,8.528414051591508
4,-1.709942343733188
5,-0.8199520804796726
6,13.576360582747661
7,18.506310587339573
8,-8.42705469006937
9,4.783381542683211
10,-3.2460060757120246
11,-5.526856313019659
12,2.8572137953103365
13,-0.6953756135609508
14,-4.237164591127835
15,-12.575260449731513
16,5.770935980893972
17,-20.69782884332153
18,-12.071720147007543
19,-19.65696381611834
