,model_z_score
0,7.45968751244
1,-3.17639293676
2,3.52297168396
3,14.0888549312
4,5.26889106001
5,-0.886766240228
6,4.65708991325
7,-4.33906846613
8,1.70780320064
9,-0.441439212426
10,8.62746685268
11,-16.7714664817
12,-7.65274290939
13,-11.9722099892
14,13.8201548864
15,-9.4819148789
16,-2.56870326306
17,12.7842320128
18,-4.45916335937
19,-10.2413590705
