,z
0,-0.0627067779432
1,1.95996398454
2,0.318639363964
3,-1.95996398454
4,-0.189118426273
5,-0.189118426273
6,-0.75541502636
7,0.318639363964
8,0.45376219017
9,0.189118426273
10,-0.934589291073
11,0.934589291073
12,0.934589291073
13,0.597760126042
14,-0.934589291073
15,0.597760126042
16,0.318639363964
17,-1.15034938038
18,-0.597760126042
19,-0.0627067779432
