,height1,height2,height3,height4,height5,height6,width1,width2,width3,width4,width5,width6,heightByWidth1,heightByWidth2,heightByWidth3,heightByWidth4,heightByWidth5,heightByWidth6
69,229,231,231,122,105,105,313,324,290,301,165,134,71677,74844,66990,36722,17325,14070
70,230,230,230,230,230,230,285,144,195,132,258,210,65550,33120,44850,30360,59340,48300
71,53,70,91,76,84,78,616,616,616,616,616,616,32648,43120,56056,46816,51744,48048
72,129,331,209,209,81,168,148,148,261,203,466,466,19092,48988,54549,42427,37746,78288
73,274,355,186,186,105,105,251,363,119,130,210,151,68774,128865,22134,24180,22050,15855
74,462,74,71,71,63,175,216,398,398,398,398,398,99792,29452,28258,28258,25074,69650
75,124,462,199,135,264,196,135,288,135,135,189,189,16740,133056,26865,18225,49896,37044
76,222,114,238,238,215,129,355,259,213,140,259,259,78810,29526,50694,33320,55685,33411
77,253,207,144,100,214,214,297,297,317,317,154,161,75141,61479,45648,31700,32956,34454
78,462,462,117,171,170,170,203,170,239,239,126,111,93786,78540,27963,40869,21420,18870
79,462,122,338,135,201,201,164,450,122,326,159,165,75768,54900,41236,44010,31959,33165
80,462,115,345,113,230,230,139,475,134,339,176,161,64218,54625,46230,38307,40480,37030
81,135,325,84,239,161,76,616,133,481,180,299,299,83160,43225,40404,43020,48139,22724
82,462,462,462,462,462,462,110,102,99,91,98,106,50820,47124,45738,42042,45276,48972
83,63,69,79,85,86,70,616,616,616,616,616,616,38808,42504,48664,52360,52976,43120
84,295,165,165,295,295,295,148,309,305,173,162,127,43660,50985,50325,51035,47790,37465
85,271,189,462,462,462,462,200,200,117,107,95,89,54200,37800,54054,49434,43890,41118
86,462,462,232,232,228,228,180,124,226,80,149,157,83160,57288,52432,18560,33972,35796
87,112,74,348,348,386,386,306,308,146,158,153,153,34272,22792,50808,54984,59058,59058
88,136,145,136,136,177,177,174,616,262,176,298,316,23664,89320,35632,23936,52746,55932
89,118,229,258,82,231,231,208,406,208,208,207,197,24544,92974,53664,17056,47817,45507
90,212,248,462,462,462,462,116,116,112,170,113,97,24592,28768,51744,78540,52206,44814
91,112,87,98,98,77,80,616,616,304,310,616,616,68992,53592,29792,30380,47432,49280
92,462,462,462,462,462,462,106,95,125,102,98,80,48972,43890,57750,47124,45276,36960
93,166,159,153,139,152,147,307,307,307,307,307,307,50962,48813,46971,42673,46664,45129
94,462,462,462,462,462,462,114,107,101,114,93,77,52668,49434,46662,52668,42966,35574
95,83,74,90,75,73,57,616,616,616,616,616,616,51128,45584,55440,46200,44968,35112
96,462,462,462,462,462,462,109,97,126,110,89,75,50358,44814,58212,50820,41118,34650
97,78,70,79,76,79,70,616,616,616,616,616,616,48048,43120,48664,46816,48664,43120
98,245,229,215,215,231,231,298,316,146,150,168,146,73010,72364,31390,32250,38808,33726
99,462,462,109,111,120,116,100,92,420,420,420,420,46200,42504,45780,46620,50400,48720
