sub,img,information_content,conditional_entropy
1,10005,3.754127653515947,1.6091084581189545
1,10018,-2.5601076314608258,3.6719002861083037
1,10042,1.6744972973885761,2.7573533126373704
1,10077,4.396560721996142,1.6738473075803058
1,10157,-1.5757485721570237,3.5141672256353624
1,10168,7.3702306110750495,0.7861275818071739
1,10183,1.5303960804618533,2.2767769941341482
1,10369,0.24567784105065807,2.7089093563800337
1,10407,4.386680781098119,1.8408186620138365
1,10447,7.48818388310799,0.8252111817959572
1,10587,7.97620784307935,0.7757378844423658
1,10619,6.9201517295343224,0.6235457908087598
1,10632,0.23640330592632572,2.2754487554251686
1,10653,10.292061396851071,0.0
1,10660,-1.0944596032920573,3.449750335050239
1,10702,3.1457155038536317,1.5617001006586402
1,10732,8.366700921089592,0.0
1,10750,7.336504473008516,0.9393899230091729
1,10842,-0.4895241326140337,2.4063546004072207
1,10864,5.381268193262632,0.947210635579895
2,10005,3.9344063079713516,1.382203219895631
2,10018,-2.027858076514165,3.955886316490269
2,10042,2.3443627197914756,2.694819267042687
2,10077,2.049862978094387,2.392718770768609
2,10157,-1.2202815705536947,3.4283380432380612
2,10168,9.917491888525996,0.7425737183213642
2,10183,4.189272173673342,2.107963790463307
2,10369,0.26512397770077256,2.7510757615006405
2,10407,5.344028513073691,1.8339052113729308
2,10447,6.778843648766548,0.8670195138674031
2,10587,8.205084429442014,0.8209703101657466
2,10619,10.647846988723067,0.4308913969494162
2,10632,-0.201214894551445,2.5167751424997804
2,10653,12.252703922095433,0.0
2,10660,-0.3047647493715744,3.650460514923381
2,10702,3.5131639537606967,1.5127003829223677
2,10732,8.89639501900577,0.7866590918753793
2,10750,8.255131535832811,0.9386973797231728
2,10842,-0.07832503766415798,2.2546622749741134
2,10864,5.980063732363505,0.9570338915071219
3,10005,3.3525660457271353,1.3593236132352455
3,10018,-1.9990192617765383,3.964369504017266
3,10042,4.166556506606153,1.894163658255431
3,10077,4.071830566561978,2.4211538337830327
3,10157,-1.3364227217133904,3.6099159394209908
3,10168,8.588380149678171,0.8192990183809981
3,10183,3.176929302767263,2.191484091820809
3,10369,0.765861560044789,2.806137211015647
3,10407,4.603536000803074,1.838733489906125
3,10447,6.778843648766548,0.8670195138674031
3,10587,6.975018948629699,0.8794268219435553
3,10619,8.045257476174571,0.5040901630377487
3,10632,0.22435591413161962,2.6297586044414056
3,10653,12.221453918825839,0.0
3,10660,-1.6467072576355455,3.777883489379896
3,10702,3.411597006173379,1.5213660968273306
3,10732,7.809682736313266,0.7845666720850643
3,10750,8.279005199045429,1.010948187144383
3,10842,1.090710538634836,2.249897543664678
3,10864,6.313276260024647,0.9670052607709292
4,10005,2.1955831758105995,1.6188240993397882
4,10018,-1.7594171228863946,3.911637288893829
4,10042,3.2151116811927603,1.7857062290569536
4,10077,2.1525034893012633,2.433592093226374
4,10157,-0.35474582546404126,3.4264732753420972
4,10168,9.356919459517892,0.6168987022968114
4,10183,1.9841925043877342,2.348787499255982
4,10369,1.2518195129431213,2.9247203873000727
4,10407,3.7296051382571465,1.6014630244150094
4,10447,7.0971061626887835,2.8175442481358774
4,10587,7.052331326311484,0.0
4,10619,6.876734042880516,0.4976667887986628
4,10632,-0.15298165025522828,2.6212512719260177
4,10653,11.156204052529086,0.0
4,10660,-1.1916182651255052,3.5463254410719625
4,10702,3.2365940583519692,1.4851276231277166
4,10732,8.586469354387301,0.8849045574723471
4,10750,8.197164745401203,0.8083558037351148
4,10842,1.4163891984931245,2.2863771379645432
4,10864,6.31425222119029,0.9281033263819276
5,10005,2.676636711211059,1.6628515386295035
5,10018,-2.1197030943498483,3.699752892939822
5,10042,3.1556467420465895,1.7549192708126762
5,10077,1.3753649821682548,2.519590636818296
5,10157,-1.2035908392528558,3.509744863674639
5,10168,9.516652883799939,0.6432331099078323
5,10183,2.180314242648788,2.274159407749053
5,10369,1.5018698003050097,2.9147685674005235
5,10407,3.299404938450891,1.6023036245601128
5,10447,8.121554403068176,2.771030425521671
5,10587,7.092623988676773,0.0
5,10619,6.706559767588661,0.4984799808131758
5,10632,0.8060827348862328,2.753375973587658
5,10653,10.937914224782196,0.0
5,10660,-1.3270986532515796,3.8486408595270696
5,10702,3.3603978774794436,1.5071383444740238
5,10732,8.026574844549954,0.8713139631304139
5,10750,7.629115826071702,0.8596847192556546
5,10842,0.919604424694707,2.2831008971849394
5,10864,6.673203033374728,0.9486254694729435
6,10005,2.654780000336398,1.6244512062060115
6,10018,-2.350874700210125,3.815536338401907
6,10042,4.1660804366408,1.8886619502701547
6,10077,0.31617813359623526,2.6583967733238056
6,10157,-0.4646740618352822,3.5072802003826853
6,10168,8.266840838273755,0.6198323356665747
6,10183,2.770921309878422,2.1825995850160065
6,10369,2.668454997143685,2.7694156683691147
6,10407,3.8144661352381433,1.7269198112149942
6,10447,7.364786371451075,0.8637300248514236
6,10587,7.399643196067064,0.0
6,10619,6.091329962591847,0.6100632001413866
6,10632,1.4544704949565215,2.7753006172815677
6,10653,9.447010321822898,0.0
6,10660,-0.48307337291160246,4.051786701119549
6,10702,3.690770496328388,1.5916258723992953
6,10732,7.886093228421753,0.9071289198751376
6,10750,7.2082094116174655,0.8398891272633793
6,10842,0.10049343297204089,2.2928650034942892
6,10864,7.737439686805713,0.9814920528685336
7,10005,2.9473772814581167,1.6891749710605026
7,10018,-2.299291613319139,3.8137568769252765
7,10042,5.146217374020913,1.737546108018062
7,10077,0.35491430017592784,2.6766440846227715
7,10157,0.0747549463714087,3.4269519112937754
7,10168,7.685981771480986,0.633766653160953
7,10183,2.488940822137556,2.4356164256076407
7,10369,2.6460570024638126,2.6258278295207695
7,10407,4.258913474366228,1.7441472486934955
7,10447,6.690754905582194,0.8360277077677459
7,10587,5.3471664614081575,0.8065673133507244
7,10619,6.440451083247793,0.6746539636686029
7,10632,3.0599404842989077,2.755558580434337
7,10653,10.286104173536392,0.0
7,10660,-0.8835702382952968,4.041388029330138
7,10702,3.843116285787456,1.5532904516184944
7,10732,5.495388880317786,1.8062220419657844
7,10750,5.842237958129154,0.7965134681204471
7,10842,0.10101026121234619,2.3123993488072805
7,10864,6.912237092911167,0.9675229421922975
8,10005,3.32994841644453,1.6366389023031873
8,10018,-2.9203100852543504,3.3353868481132274
8,10042,3.719650549947191,1.7406294569650584
8,10077,0.44194395727356256,2.7207956024243676
8,10157,-2.6003105566095015,3.5324784015545543
8,10168,3.3177420701482307,1.527967072832826
8,10183,1.0503687055085336,2.6054645463825725
8,10369,2.321259027661333,2.825316415739231
8,10407,3.5054350228597704,1.7080563317734851
8,10447,5.803412835288834,0.661310939627982
8,10587,7.468800381083667,0.0
8,10619,4.6425246078469895,1.6642145347651818
8,10632,1.6041838619805373,2.6030905347042417
8,10653,3.90551498976874,1.4812417229086199
8,10660,0.25925511607802926,4.013309387814873
8,10702,3.7427767428321608,1.6378505475639729
8,10732,5.7000269854417835,1.740549810169153
8,10750,6.485785736328496,0.6345076262698597
8,10842,0.4194374911540347,2.38286380052674
8,10864,6.576041863989266,0.815310922026269
9,10005,1.4611639232093356,2.7379409283471525
9,10018,-2.515099741025823,3.382402501442316
9,10042,6.552894329953574,0.813147730835237
9,10077,2.137295716577657,2.698096670538339
9,10157,-1.8599588160525715,3.5385274333215104
9,10168,3.345368641925398,1.3771302908749872
9,10183,1.3563666649130446,2.641316382647238
9,10369,2.6483011486796015,2.627626830673609
9,10407,3.6205676437847343,1.4813304073763924
9,10447,5.204653975226244,1.3948405837410374
9,10587,8.751759046747276,0.0
9,10619,4.098221001765082,1.637483612000783
9,10632,1.8710040406239201,2.471518277952528
9,10653,4.759383642887139,1.4860042502725244
9,10660,1.2531992250298858,3.7991365140070386
9,10702,5.91185531601872,1.3461197326345837
9,10732,5.3250909163467135,1.7838037170878784
9,10750,6.4567009442674586,0.6333618951231086
9,10842,0.5783813426879792,2.8157417771426
9,10864,3.532005543925727,1.6843292956117615
10,10005,1.3275211691311297,2.874109587121177
10,10018,-1.9754237453356047,3.4249077165525583
10,10042,6.559202323169603,0.7611308442417861
10,10077,2.105459183225405,2.7080046082336375
10,10157,-2.0625339619986023,3.2116453894792283
10,10168,3.2301515634214994,1.2550832279009512
10,10183,1.5491271740598977,2.6663246021857505
10,10369,2.16358163505673,2.8115962420984277
10,10407,3.645837998753868,1.4760149117685728
10,10447,4.6731679164213915,1.4578246949552098
10,10587,8.357279824230638,0.0
10,10619,3.8793091117130762,1.627171433136755
10,10632,2.127860302466906,2.478256525325365
10,10653,5.257377397871995,1.5007308944393292
10,10660,0.746983857162589,3.6830355742332967
10,10702,4.919799267694225,1.4461731914635747
10,10732,4.117516132399041,1.8421300846536761
10,10750,6.830438723183497,0.6761428260171177
10,10842,0.8439404310884859,2.8574361301794093
10,10864,4.260876462070192,1.5974015493370912
11,10005,0.026961950283069892,2.7366084155237695
11,10018,-1.1962072396725776,3.364947654591428
11,10042,6.6239540157414645,0.6564710473684932
11,10077,1.7109287015692627,2.7826382526719926
11,10157,-2.0508899396078917,3.3230111538010787
11,10168,3.1777523303550335,1.4003970998820627
11,10183,0.20999853780968813,2.490334936907941
11,10369,3.0759495228292337,2.47020401414096
11,10407,3.9967769049430872,1.516585653161118
11,10447,4.07463287527337,1.4878982705752755
11,10587,8.71689818696597,0.0
11,10619,4.280962537626459,1.6633959092028974
11,10632,2.117181522701053,2.5116593696019365
11,10653,4.858632832265033,1.4831141477325276
11,10660,0.8602049054098427,3.756998941987141
11,10702,2.607733942773433,1.7213347507159737
11,10732,4.577266715691767,1.8907488863718904
11,10750,7.2425924295999184,0.6736104286928988
11,10842,0.485396170243261,2.753300646368999
11,10864,4.86795122336802,1.6079261340320208
12,10005,0.17055198466944874,2.544437016563788
12,10018,-1.9843439026647298,3.364047966806187
12,10042,6.415645985399965,0.6776163418065189
12,10077,2.135718650279371,2.694986834216296
12,10157,-2.0508719417869066,3.356471089860456
12,10168,3.482449898459603,1.331337430020661
12,10183,0.8551960443392919,2.604168730713188
12,10369,2.727450590938875,2.6022024100860004
12,10407,4.679726207339023,1.4520335523335612
12,10447,3.934494188477969,1.5516937778109363
12,10587,9.88151730136039,0.0
12,10619,4.017945706871593,1.645961077763305
12,10632,3.4416232905080637,1.5642672225387788
12,10653,4.579583607353604,1.5334129572597948
12,10660,0.4471668521697309,3.660334468235792
12,10702,4.648280398550306,1.5898756670512109
12,10732,4.455477968418476,1.885648833092147
12,10750,7.384321760533514,0.7309353044273321
12,10842,0.3241217005078868,2.738334218253775
12,10864,4.404767376572139,1.6364138196457847
13,10005,-0.25383694668837986,2.3041128235941377
13,10018,-1.6624401752926592,3.599426400733539
13,10042,6.596766319665175,0.6679106489164177
13,10077,1.3110578550896825,2.81224161494662
13,10157,-2.180049321393855,3.4627215118416563
13,10168,3.8564267267483254,1.4017716792876107
13,10183,0.5160104411354879,2.6593909882852658
