,informationContent
0,14.720269080619483
1,14.63239853270538
2,14.872002268344767
3,14.737618864089342
4,14.9900687534659
5,14.336462718841064
6,14.799220620886636
7,14.54480147022874
8,14.841781072588315
9,14.41468369275648
10,14.345298844473884
11,14.898043471292537
12,14.731207019487025
13,14.805052075813409
14,14.515434774558873
15,14.35445400700263
16,15.024458098562784
17,14.87181514459744
18,14.320765944638131
19,14.945534281279185
