Sub	Trial	img	type	RT	Reaction
8	1.000000	112.000000	1.000000	7597.773	1.000000
8	2.000000	49.000000	1.000000	2664.823	1.000000
8	3.000000	38.000000	2.000000	3590.401	0.000000
8	4.000000	39.000000	2.000000	2410.088	0.000000
8	5.000000	41.000000	2.000000	2777.080	0.000000
8	6.000000	48.000000	1.000000	3868.138	1.000000
8	7.000000	20.000000	1.000000	3279.119	1.000000
8	8.000000	3.000000	1.000000	5376.753	1.000000
8	9.000000	45.000000	1.000000	2856.232	1.000000
8	10.000000	22.000000	2.000000	15028.777	0.000000
8	11.000000	176.000000	1.000000	11426.971	1.000000
8	12.000000	235.000000	1.000000	7816.816	1.000000
8	13.000000	35.000000	1.000000	7970.923	1.000000
8	14.000000	23.000000	2.000000	5575.170	1.000000
8	15.000000	160.000000	1.000000	3572.439	1.000000
8	16.000000	47.000000	1.000000	4039.527	1.000000
8	17.000000	44.000000	1.000000	14966.481	0.000000
8	18.000000	200.000000	2.000000	1573.518	0.000000
8	19.000000	8.000000	2.000000	5820.235	0.000000
8	20.000000	147.000000	1.000000	11839.450	1.000000
8	21.000000	37.000000	2.000000	1904.209	0.000000
8	22.000000	53.000000	2.000000	5783.623	0.000000
8	23.000000	208.000000	2.000000	1819.001	0.000000
8	24.000000	59.000000	2.000000	1931.996	0.000000
8	25.000000	223.000000	1.000000	4479.455	1.000000
8	26.000000	17.000000	2.000000	3900.833	0.000000
8	27.000000	130.000000	1.000000	2628.585	1.000000
8	28.000000	239.000000	1.000000	18186.343	1.000000
8	29.000000	43.000000	2.000000	3463.927	0.000000
8	30.000000	57.000000	1.000000	5548.770	1.000000
8	31.000000	220.000000	1.000000	3949.430	1.000000
8	32.000000	30.000000	1.000000	21912.173	1.000000
8	33.000000	0.000000	1.000000	1984.719	1.000000
8	34.000000	32.000000	2.000000	3338.943	0.000000
8	35.000000	171.000000	1.000000	11225.061	0.000000
8	36.000000	60.000000	1.000000	4526.272	0.000000
8	37.000000	31.000000	2.000000	1464.190	0.000000
8	38.000000	213.000000	1.000000	3773.128	1.000000
8	39.000000	51.000000	1.000000	3432.887	1.000000
8	40.000000	5.000000	1.000000	3442.001	1.000000
8	41.000000	123.000000	2.000000	2351.095	0.000000
8	42.000000	63.000000	2.000000	5649.521	1.000000
8	43.000000	14.000000	2.000000	5579.866	0.000000
8	44.000000	207.000000	2.000000	1493.085	0.000000
8	45.000000	54.000000	2.000000	2242.030	0.000000
8	46.000000	69.000000	2.000000	944.400	0.000000
8	47.000000	6.000000	1.000000	1191.971	1.000000
8	48.000000	136.000000	2.000000	3834.081	0.000000
