Sub	Trial	img	type	RT	Reaction
10	1.000000	5.000000	2.000000	2184.328	0.000000
10	2.000000	30.000000	1.000000	5548.628	0.000000
10	3.000000	45.000000	2.000000	2644.417	0.000000
10	4.000000	35.000000	2.000000	1990.359	1.000000
10	5.000000	223.000000	2.000000	3131.308	0.000000
10	6.000000	176.000000	1.000000	1054.964	1.000000
10	7.000000	200.000000	1.000000	1348.129	1.000000
10	8.000000	6.000000	2.000000	2084.942	0.000000
10	9.000000	39.000000	1.000000	2958.967	1.000000
10	10.000000	59.000000	1.000000	1740.733	1.000000
10	11.000000	207.000000	2.000000	1716.191	1.000000
10	12.000000	43.000000	2.000000	2355.070	0.000000
10	13.000000	208.000000	1.000000	2294.599	0.000000
10	14.000000	44.000000	1.000000	3033.458	1.000000
10	15.000000	38.000000	1.000000	1405.241	1.000000
10	16.000000	41.000000	1.000000	2616.643	0.000000
10	17.000000	160.000000	2.000000	2684.014	0.000000
10	18.000000	123.000000	1.000000	2767.700	1.000000
10	19.000000	20.000000	2.000000	2869.961	0.000000
10	20.000000	112.000000	2.000000	3859.794	1.000000
10	21.000000	48.000000	2.000000	1097.320	0.000000
10	22.000000	32.000000	1.000000	1266.286	1.000000
10	23.000000	147.000000	2.000000	1097.982	0.000000
10	24.000000	57.000000	1.000000	4003.306	0.000000
10	25.000000	14.000000	2.000000	1221.517	1.000000
10	26.000000	37.000000	1.000000	1160.277	1.000000
10	27.000000	60.000000	1.000000	2353.071	0.000000
10	28.000000	53.000000	2.000000	2420.220	0.000000
10	29.000000	54.000000	2.000000	6989.367	1.000000
10	30.000000	49.000000	2.000000	1798.311	0.000000
10	31.000000	22.000000	2.000000	3337.227	1.000000
10	32.000000	130.000000	2.000000	1576.435	0.000000
10	33.000000	220.000000	2.000000	1169.290	0.000000
10	34.000000	3.000000	1.000000	5491.072	1.000000
10	35.000000	31.000000	2.000000	1301.240	0.000000
10	36.000000	213.000000	1.000000	3672.621	1.000000
10	37.000000	23.000000	1.000000	3527.871	0.000000
10	38.000000	47.000000	1.000000	2999.497	1.000000
10	39.000000	136.000000	2.000000	5012.262	0.000000
10	40.000000	51.000000	1.000000	2084.493	1.000000
10	41.000000	239.000000	2.000000	1278.986	0.000000
10	42.000000	17.000000	1.000000	1661.597	0.000000
10	43.000000	63.000000	1.000000	3414.821	0.000000
10	44.000000	8.000000	1.000000	1826.633	1.000000
10	45.000000	69.000000	1.000000	2133.469	0.000000
10	46.000000	0.000000	1.000000	2249.122	1.000000
10	47.000000	235.000000	2.000000	3134.773	0.000000
10	48.000000	171.000000	2.000000	1345.900	0.000000
