Sub	Trial	img	type	RT	Reaction
4	1.000000	3.000000	1.000000	5402.399	1.000000
4	2.000000	171.000000	1.000000	18167.172	0.000000
4	3.000000	43.000000	2.000000	3424.954	0.000000
4	4.000000	48.000000	2.000000	2030.375	0.000000
4	5.000000	59.000000	1.000000	17741.191	1.000000
4	6.000000	54.000000	1.000000	7876.823	1.000000
4	7.000000	160.000000	2.000000	16158.254	0.000000
4	8.000000	31.000000	1.000000	3385.736	1.000000
4	9.000000	17.000000	2.000000	22387.912	0.000000
4	10.000000	49.000000	2.000000	2872.671	0.000000
4	11.000000	136.000000	1.000000	2603.889	1.000000
4	12.000000	51.000000	2.000000	2583.540	0.000000
4	13.000000	39.000000	2.000000	5790.621	0.000000
4	14.000000	38.000000	2.000000	6024.179	0.000000
4	15.000000	20.000000	1.000000	3963.941	1.000000
4	16.000000	207.000000	1.000000	19128.215	1.000000
4	17.000000	8.000000	2.000000	4313.168	0.000000
4	18.000000	32.000000	2.000000	2360.272	0.000000
4	19.000000	63.000000	1.000000	36636.934	1.000000
4	20.000000	200.000000	2.000000	17702.216	0.000000
4	21.000000	30.000000	1.000000	4145.255	1.000000
4	22.000000	23.000000	1.000000	4459.638	1.000000
4	23.000000	239.000000	2.000000	1661.282	0.000000
4	24.000000	14.000000	2.000000	4799.242	0.000000
4	25.000000	213.000000	2.000000	6986.068	0.000000
4	26.000000	220.000000	1.000000	2878.628	1.000000
4	27.000000	35.000000	1.000000	5256.407	1.000000
4	28.000000	60.000000	2.000000	4694.108	0.000000
4	29.000000	37.000000	2.000000	4074.144	0.000000
4	30.000000	53.000000	1.000000	3665.947	1.000000
4	31.000000	147.000000	1.000000	3848.771	1.000000
4	32.000000	112.000000	1.000000	8898.931	1.000000
4	33.000000	57.000000	2.000000	6112.093	0.000000
4	34.000000	6.000000	1.000000	2604.771	1.000000
4	35.000000	176.000000	2.000000	4481.666	0.000000
4	36.000000	69.000000	1.000000	1919.057	1.000000
4	37.000000	47.000000	1.000000	7897.930	1.000000
4	38.000000	0.000000	1.000000	2546.524	1.000000
4	39.000000	235.000000	1.000000	4335.064	1.000000
4	40.000000	223.000000	1.000000	5027.569	1.000000
4	41.000000	44.000000	1.000000	5013.237	1.000000
4	42.000000	130.000000	2.000000	4085.873	0.000000
4	43.000000	123.000000	2.000000	5226.651	0.000000
4	44.000000	208.000000	1.000000	4162.603	1.000000
4	45.000000	45.000000	1.000000	4269.215	1.000000
4	46.000000	5.000000	1.000000	1675.046	1.000000
4	47.000000	22.000000	1.000000	9068.820	1.000000
4	48.000000	41.000000	2.000000	4430.621	0.000000
