Sub	Trial	img	type	RT	Reaction
6	1.000000	136.000000	1.000000	4746.402	1.000000
6	2.000000	213.000000	1.000000	4981.684	0.000000
6	3.000000	53.000000	1.000000	4468.285	1.000000
6	4.000000	69.000000	1.000000	1830.689	0.000000
6	5.000000	49.000000	2.000000	2189.043	0.000000
6	6.000000	43.000000	1.000000	1350.607	0.000000
6	7.000000	208.000000	1.000000	835.497	1.000000
6	8.000000	51.000000	1.000000	1802.248	1.000000
6	9.000000	54.000000	1.000000	1382.791	0.000000
6	10.000000	47.000000	2.000000	857.364	0.000000
6	11.000000	147.000000	1.000000	1278.394	0.000000
6	12.000000	176.000000	2.000000	1292.367	0.000000
6	13.000000	220.000000	2.000000	466.047	0.000000
6	14.000000	44.000000	2.000000	668.180	0.000000
6	15.000000	6.000000	2.000000	454.377	0.000000
6	16.000000	59.000000	1.000000	405.208	0.000000
6	17.000000	223.000000	2.000000	2647.303	0.000000
6	18.000000	32.000000	1.000000	1539.643	1.000000
6	19.000000	23.000000	2.000000	1789.786	1.000000
6	20.000000	160.000000	2.000000	2214.728	0.000000
6	21.000000	235.000000	1.000000	3313.704	1.000000
6	22.000000	63.000000	1.000000	1980.022	1.000000
6	23.000000	57.000000	2.000000	1620.251	1.000000
6	24.000000	3.000000	1.000000	1776.531	0.000000
6	25.000000	130.000000	2.000000	880.870	0.000000
6	26.000000	5.000000	2.000000	3734.919	0.000000
6	27.000000	45.000000	1.000000	2612.014	1.000000
6	28.000000	0.000000	1.000000	1818.305	0.000000
6	29.000000	239.000000	1.000000	2788.022	0.000000
6	30.000000	8.000000	1.000000	1771.647	0.000000
6	31.000000	14.000000	1.000000	2073.833	0.000000
6	32.000000	31.000000	2.000000	2197.438	0.000000
6	33.000000	38.000000	2.000000	1244.399	0.000000
6	34.000000	41.000000	1.000000	2244.550	1.000000
6	35.000000	171.000000	1.000000	2978.887	1.000000
6	36.000000	200.000000	1.000000	1703.186	1.000000
6	37.000000	39.000000	1.000000	1753.494	0.000000
6	38.000000	22.000000	2.000000	4413.710	0.000000
6	39.000000	207.000000	2.000000	907.607	0.000000
6	40.000000	20.000000	1.000000	1858.380	1.000000
6	41.000000	30.000000	1.000000	5238.455	1.000000
6	42.000000	17.000000	2.000000	2654.486	0.000000
6	43.000000	48.000000	1.000000	2490.945	0.000000
6	44.000000	37.000000	2.000000	905.835	0.000000
6	45.000000	112.000000	1.000000	806.129	1.000000
6	46.000000	60.000000	1.000000	2381.455	1.000000
6	47.000000	35.000000	1.000000	1697.788	1.000000
6	48.000000	123.000000	1.000000	1176.057	1.000000
